תאריך,שעה,שעת התחלת ברייק,משרד / MB,סוג תשדיר,מפרסם,קמפיין,שם גרסה,House Number,אורך תשדיר,תוכנית מוזמנת,שעת התחלת תוכנית,סוג ברייק,סוג תמחור,מחיר,רייטינג ברייקים מתוכנן,מיקום בברייק,סטטוס
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
4/27/2025,18:01:00,18:00:00,,,Acme,Acme Summer,,,-5,Evening Show,18:00,,,,5.5,1,
