resample,fb_multiplier,greedy_net_r,f1_net_r,greedy_net_0,f1_net_0,nominal_gain_ils,honest_gain_ils,nominal_gain_pct,honest_gain_pct
0,1.0,18933781.062546995,19384253.86818888,18731562.6389236,19205546.18453544,450472.80564188585,473983.54561183974,2.3792015137059352,2.530400451625519
1,1.0,19302861.792274356,19717864.06199326,18751829.96650711,19187777.629360586,415002.26971890405,435947.66285347566,2.149952033977686,2.324827302893251
2,1.0,17760790.433163486,18260344.578933522,18400741.440447357,19013405.778356627,499554.1457700357,612664.3379092701,2.812679692663076,3.3295633216308866
3,1.0,18749121.64935219,19182053.915807243,18692860.322025422,19136263.218690563,432932.2664550543,443402.896665141,2.309080257474423,2.3720441335705496
4,1.0,18758668.893001825,19256357.130934034,18481039.201588787,19037963.968142662,497688.2379322089,556924.7665538751,2.6531106272571305,3.013492696373898
5,1.0,17371273.923317254,17900537.726177733,18262061.073908992,18963587.083828613,529263.8028604798,701526.009919621,3.046775988893108,3.8414394031454164
6,1.0,18299623.373045757,18786934.14920724,18593200.612038404,19140049.860376988,487310.7761614844,546849.2483385839,2.6629552216864956,2.9411248754263393
7,1.678,17365824.992050335,17813497.159068875,18423784.700939216,18996165.91365749,447672.1670185402,572381.2127182744,2.5778917340435825,3.10675152803482
8,1.0,18829297.4463899,19269773.798330437,18692860.322025422,19136263.218690563,440476.35194053873,443402.896665141,2.339313791152576,2.3720441335705496
9,1.0,18376481.94209269,18784488.76968336,18524078.81029297,19051146.005333602,408006.82759067044,527067.195040632,2.2202662559480473,2.845308532955308
10,1.0,18754236.9612122,19293162.80420173,18449224.85583575,19055155.215436872,538925.8429895304,605930.3596011214,2.873621806657051,3.2843133754178133
11,1.0,18093049.38876311,18670999.40107894,18373606.638315648,19060974.22871863,577950.0123158284,687367.5904029831,3.194320647103139,3.741059683783433
12,1.0,19339740.500769846,19819049.57298022,18758124.893902954,19200724.869389802,479309.0722103752,442599.9754868485,2.4783635136743207,2.359510761284615
13,1.0,18843274.11082323,19296356.81710715,18631935.47553662,19077647.03181012,453082.7062839195,445711.55627350137,2.4044797290491955,2.3921913902005096
14,1.0,17903950.607466575,18427889.235062495,18327983.114278972,18982370.447428886,523938.6275959201,654387.3331499137,2.9263855731227237,3.570427411841586
15,1.0,18104103.149537053,18616169.91779432,18399419.689052787,19011230.135505214,512066.7682572678,611810.4464524277,2.828456974795584,3.325161645268846
16,1.0,18376088.07227017,18836414.865765974,18648784.527416606,19158049.541452773,460326.7934958041,509265.0140361674,2.5050314935660603,2.73082148215863
17,1.0,18241892.619031467,18718838.87615136,18487702.32772415,19036860.2356711,476946.257119894,549157.907946948,2.614565643382331,2.970395662004093
18,1.0,18430117.65270421,18999591.536668044,18397223.606282506,19027825.651931487,569473.8839638345,630602.0456489809,3.0899091079881242,3.4277022399925348
19,1.0,18719008.335496593,19144121.830037557,18700558.322323795,19143961.218988936,425113.4945409633,443402.896665141,2.2710257238083846,2.3710676923256813
20,1.0,17201402.953776617,17683468.477689795,17996940.673340876,18672171.275630765,482065.5239131786,675230.602289889,2.8024779444361525,3.7519188096792346
21,1.0,18235041.664758667,18787642.15274451,18540228.12656796,19144437.381059483,552600.4879858419,604209.2544915229,3.030431726700172,3.258909493274773
22,1.0,18883995.28722076,19389079.14725195,18445983.511533696,19013940.961486686,505083.86003118753,567957.4499529898,2.6746663105396427,3.079030454504439
23,1.0,18246307.120361354,18730407.567061655,18582304.50941217,19129153.757750753,484100.446700301,546849.2483385839,2.653142049549771,2.942849462302148
24,1.0,18677664.931161966,19174871.221020482,18399459.615349382,18967417.065302372,497206.2898585163,567957.4499529898,2.6620366715593735,3.086815927350294
25,1.0,18583606.578297127,19094595.761336997,18440024.204850502,19045954.564451624,510989.1830398701,605930.3596011214,2.7496771462899408,3.2859520837382425
26,1.0,18592760.182854794,19116845.710537408,18449224.85583575,19055155.215436872,524085.5276826136,605930.3596011214,2.8187612948716243,3.2843133754178133
27,1.0,18149336.485894725,18579688.166274965,18191461.78460634,18737547.589694887,430351.6803802401,546085.8050885461,2.3711703219271967,3.0018797365181795
28,1.0,18987468.86479173,19437461.412570715,18633672.812117606,19079384.36839111,449992.5477789864,445711.5562735051,2.369944888301584,2.3919683508860143
29,1.0,16086806.348520491,16570052.257768616,17622765.35171941,18576417.268515874,483245.9092481248,953651.9167964645,3.003989100002867,5.411477130650321
30,1.0,20159591.052232314,20639915.52057254,18727428.829257358,19140564.450060964,480324.4683402255,413135.62080360577,2.3826101784293794,2.206045605994642
31,1.0,18112352.565558787,18649976.242074996,18291730.005633175,18947964.743529752,537623.6765162088,656234.7378965765,2.9682708227451204,3.5876034562858763
32,1.0,18231280.244961902,18702996.267816953,18564193.30138613,19111042.549724717,471716.02285505086,546849.2483385876,2.5873993297064617,2.9457205032321876
33,1.0,18285222.33435286,18744763.952674028,18428538.556899507,19000919.76961778,459541.61832116917,572381.2127182744,2.513185838915494,3.1059501053271488
34,1.0,18611826.835153244,19033613.463199154,18711305.012744468,19163279.43748472,421786.6280459091,451974.42474025115,2.2662290584460845,2.4155152429635804
35,1.0,18698676.770503126,19185069.67160403,18589819.81561817,19079384.36839111,486392.90110090375,489564.55277294293,2.6012156211405344,2.633508864683223
36,1.0,17189500.275968578,17694212.261878207,18226506.27263514,18944001.208101347,504711.9859096296,717494.9354662076,2.936164389928378,3.936546723402708
37,1.0,18771637.745685223,19314123.59518465,18509747.78895885,19115678.14855997,542485.8494994268,605930.3596011177,2.889922855154823,3.27357437016272
38,1.0,17985469.595577475,18557498.126123328,18385938.102712784,19065240.127504688,572028.5305458531,679302.0247919038,3.18050372555472,3.6946824306543
39,1.0,19072869.29754698,19549872.10621053,18609405.601032585,19077126.278177675,477002.80866355076,467720.67714508995,2.5009493916308627,2.5133563487870747
40,1.0,18685542.953420613,19168887.440316785,18727119.677656922,19213572.649643213,483344.48689617217,486452.97198629007,2.586729687764787,2.5975856424235415
41,1.0,19557950.092706308,19989861.06422489,18744236.25717278,19158174.79915467,431910.9715185836,413938.5419818908,2.208365240075211,2.2083510701775895
42,1.0,18159255.797374293,18739300.35084123,18383926.27846078,19071293.86886376,580044.5534669384,687367.5904029831,3.1942088372961237,3.7389596759225796
43,1.0,17652276.836992353,18182878.34951841,18018368.70067762,18738927.201750632,530601.5125260577,720558.501073014,3.0058531113341815,3.99902184844245
44,1.0,18552711.68259296,18960919.85717536,18716410.866813853,19159813.763478994,408208.17458240315,443402.896665141,2.200261511989127,2.3690594303598056
45,1.0,18843574.605915662,19296893.326306924,18508270.049022056,19044492.51349213,453318.7203912623,536222.4644700736,2.405693876409997,2.8972046714782325
46,1.0,17976118.68739047,18509147.79889135,18563307.131685473,19173167.088788263,533029.1115008816,609859.9571027905,2.9652068990553575,3.285297995537811
47,1.0,18316835.993083753,18963127.687882543,18313729.810709666,19029351.685994435,646291.6947987899,715621.8752847686,3.52840247651299,3.9075703457538227
48,1.0,18148519.88659213,18702814.030108422,18550430.5417693,19160290.498872086,554294.1435162909,609859.9571027867,3.0542112909482806,3.2875784512364192
49,1.0,18531427.93613679,18993640.78697005,18670793.648288187,19158049.541452773,462212.8508332595,487255.8931645863,2.4942106589203084,2.6097224485647925
50,1.0,18427920.070478093,18892381.66999316,18627387.176590562,19145223.71870184,464461.59951506555,517836.5421112776,2.5204233453299083,2.7799741166171383
51,1.0,18540201.05101971,19012364.165020958,18530943.964998465,19049744.974130724,472163.11400124803,518801.0091322586,2.546698995884293,2.7996469586880086
52,1.0,17781544.461745206,18356257.69389915,18254214.036371514,18980057.01868704,574713.2321539447,725842.9823155254,3.2320771313783747,3.976303668124432
53,1.0,17909647.119884893,18442830.76748076,18457629.04150475,19076726.309864517,533183.6475958675,619097.2683597691,2.977075115030487,3.35415381340494
54,1.0,17986505.500966966,18483201.24283686,18393886.211385317,19010120.420603033,496695.7418698929,616234.209217716,2.7614910625256823,3.3502121418815984
55,1.0,18624733.416966476,19094292.769074492,18649007.325525984,19136263.218690563,469559.3521080166,487255.8931645788,2.5211601239900947,2.6127712036320734
56,1.0,19535155.134192813,20034424.5752672,18698921.00307482,19141520.97856167,499269.44107438624,442599.9754868485,2.5557485346021336,2.366981364401016
57,1.75,17959492.703270566,18398097.38764007,18668593.1109404,19142576.65655224,438604.68436950445,473983.54561183974,2.442188605303039,2.5389355416079535
58,1.0,18111311.6775919,18590969.437224,18609698.54336781,19156547.791706398,479657.7596320994,546849.2483385876,2.648387748887082,2.938517499701658
59,1.0,17735029.067560855,18226280.758807257,18405526.886760823,19026932.81472896,491251.6912464015,621405.927968137,2.7699514298792445,3.376192009016145
60,1.0,18427622.574288283,18925363.92128239,18649741.082862243,19174581.21032925,497741.3469941057,524840.1274670064,2.7010611107728835,2.814195248797831
61,1.652,18638558.3679353,19138906.03115188,18495310.231393185,19025301.42780693,500347.6632165797,529991.1964137442,2.6844761989604784,2.8655436961211866
62,1.0,18401475.85501502,18806978.01666347,18679438.812251892,19153422.357863724,405502.16164844856,473983.5456118323,2.203639343079841,2.5374613786627536
63,1.0,18062139.82696679,18557702.715021122,18536498.76486603,19135467.19561243,495562.8880543336,598968.4307463989,2.7436554738351533,3.2312921568644883
64,1.0,19456335.2245351,19942183.97876872,18664342.90087185,19138326.446483687,485848.75423362106,473983.545611836,2.4971236804192665,2.53951370337123
65,1.0,18265025.63479368,18815719.582454074,18418192.562255077,19017589.36935163,550693.947660394,599396.8070965521,3.0150187504328385,3.254373658384444
66,1.0,18305720.144066956,18786316.54026862,18120328.731872592,18765031.402937204,480596.3962016627,644702.6710646115,2.625389181192242,3.5578972137001985
67,1.0,18950907.391252954,19496028.124984592,18444856.848159373,19000861.72014822,545120.7337316386,556004.8719888479,2.8764888270376248,3.014416845660323
68,1.0,18530640.543266382,19050433.52811332,18618879.78754354,19146028.574618906,519792.9848469384,527148.7870753668,2.8050459649967117,2.8312594156606647
69,1.0,18193945.947753284,18748624.592099484,18563590.16670973,19167799.42120125,554678.6443461999,604209.2544915229,3.0486989789847954,3.2548081974738774
70,1.0,18297765.1641632,18754087.413979836,18652285.633488744,19170122.175600022,456322.2498166375,517836.5421112776,2.4938687633305094,2.7762632005888968
71,1.0,17268490.58522235,17781578.62507707,18032900.409834187,18736871.74728527,513088.03985472023,703971.3374510817,2.971238495469891,3.90381647683904
72,1.0,18070639.267577462,18545513.08664521,18580968.548553538,19142690.222242676,474873.8190677464,561721.6736891381,2.6278750410328326,3.0231022253835427
73,1.0,18212039.923737343,18700101.903047103,18619134.880995806,19165984.12933439,488061.97930976003,546849.2483385839,2.679886390286385,2.937028233770101
74,1.0,18607766.947517183,19034552.63725396,18672094.21701254,19146077.76262438,426785.68973677605,473983.54561183974,2.2935889671260186,2.5384594791728468
75,1.0,19368620.689535543,19831949.380524404,18447718.713771626,18973270.85999249,463328.690988861,525552.1462208629,2.392161519478709,2.8488733722318016
76,1.0,17820053.618966095,18331091.503838338,18449084.665197816,19068181.933557592,511037.8848722428,619097.2683597766,2.8677685028306485,3.355707232064667
77,1.0,18738807.83245,19175637.435100198,18656241.09919994,19130224.644811776,436829.6026501991,473983.545611836,2.331149380238273,2.540616531977401
78,1.0,17886088.33401547,18371444.686386902,18399729.033704318,19015963.242922034,485356.3523714319,616234.209217716,2.7135969772014885,3.3491482841345563
79,1.0,18937643.097119074,19389705.52428112,18652739.993127797,19126723.538739637,452062.4271620475,473983.54561183974,2.3871102905662975,2.5410934038992066
80,1.0,19060157.367011517,19521367.879726313,18652739.993127797,19118152.010664523,461210.51271479577,465412.01753672585,2.4197623547066756,2.4951402191216783
