resample,fb,nominal_eng_ils,honest_eng_ils,nominal_eng_pct,honest_eng_pct,nominal_pipe_ils,honest_pipe_ils,nominal_pipe_pct,honest_pipe_pct
0,1.0,519814.31221840903,480445.2072412856,2.5422584002458097,2.4716667441755575,467408.57892441377,413135.62080360577,2.340800323440608,2.202817165552322
1,1.0,647753.810009338,784274.297683958,3.6161959981901246,4.179451668604648,489512.1059640236,672180.9177885652,2.823391775781534,3.6638705106117495
2,1.0,530157.2133136876,564775.4094663672,2.7313767434813867,2.9508466483428837,440137.5095135048,483519.5407079272,2.3292700871171528,2.600949136567484
3,1.0,680116.2505756766,727966.5382041112,3.6255730012321052,3.8259851380985097,568606.8494322449,631869.0779743716,3.128280796828013,3.4161499014635095
4,1.0,504211.2619959861,508027.86193586886,2.5201980792002145,2.6310238362344007,433485.2839741409,435947.6628534794,2.219717700567993,2.330187490887981
5,1.0,595762.5130846165,660803.3124419823,3.096176327659972,3.480993716894989,489854.2867584899,572381.2127182782,2.6139871022159427,3.1014126431049815
6,1.0,621585.8182088286,723615.5443034656,3.4272131243619164,3.828308237549219,484693.8740003891,622399.882513281,2.7605861724245098,3.3737780192954823
7,1.0,583827.7439840585,648265.0955309048,3.1184317429280464,3.4057664715823033,472844.226608634,557729.4360220619,2.607866746516858,3.0123698566714765
8,1.0,502185.95419668406,474581.7907897681,2.50133011623608,2.4516964327496975,446228.7079349831,407675.67351514474,2.2807839448945177,2.179649823232483
9,1.0,555879.6692411304,538361.7873960622,2.8523604058613827,2.782663478093757,481387.05183336884,458259.26248244196,2.5450045891849364,2.4457419897023995
10,1.0,543501.55269254,624798.097335346,2.9015591149524997,3.2824919221669573,426449.1491587907,533368.0923160724,2.3474266412417477,2.8760904539297423
11,1.0,502591.65053803474,508027.86193586513,2.5304797799479237,2.630230408667206,431179.05855571106,435947.6628534794,2.2262053806990667,2.3277253681668486
12,1.94,510377.44614948705,519645.8460659571,2.706893636865129,2.6962314214115843,451408.05849287286,445711.5562735051,2.4534995283199286,2.3878536009659466
13,1.0,685434.6663108431,720320.181668032,3.633356869841305,3.783987429296788,580565.8290582746,626218.3753631078,3.1717824428518018,3.3831927004521063
14,1.0,506827.2121441886,516686.429742977,2.6314204582033844,2.6832229716708076,430903.2273968123,443402.896665141,2.303230260641964,2.3696749879335477
15,1.0,619685.7780688666,723615.5443034656,3.413637317022775,3.8310303809027038,482641.249659583,622399.8825132847,2.746055104091453,3.3765613382819
16,1.0,585555.4793611877,661392.5502458662,3.0854762589688542,3.4932103620317188,470178.356171038,567957.4499529898,2.547661124911795,3.083368603796016
17,1.0,534442.3628969416,515440.9939987473,2.7182876075543474,2.661143639675566,468317.6965292096,442599.97548685595,2.453096296760037,2.3617797392542506
18,1.0,691125.3867536075,827633.8713511191,3.8106425506896606,4.437024088151946,536967.8313134462,717494.935466215,3.0545958507775404,3.9427980395330735
19,1.0,528042.5300560631,515440.9939987473,2.701088611311417,2.6610146736439066,459609.0083414726,442599.9754868522,2.4231017297769735,2.360173355940737
20,1.0,579572.3842426725,567259.2526850626,2.9781117336899423,2.9365720472860293,502992.5983614065,486452.97198629007,2.665680024380195,2.602305597008543
21,1.0,575521.0193750337,660803.312441986,3.038518691078116,3.4919976325010587,462344.42426418886,572381.2127182744,2.5116747691671755,3.108937536225169
22,1.0,607927.2548398674,657472.5060556941,3.1103581553147683,3.447167762319218,506241.2601039633,567894.4768427685,2.6544909388066125,3.0656820951643584
23,1.0,482188.24308430776,475368.95186790824,2.3842877112912513,2.4563090715272367,420507.80544668436,409569.1210081279,2.126099474784563,2.1852701677279764
24,1.0,576010.6191524006,599398.5982340127,2.9072712405419097,3.136516767906864,493243.61376303807,519700.4601638764,2.546662364006753,2.8025953612492103
25,1.0,671484.0402509272,827633.8713511191,3.753189506759605,4.436482800074216,510201.7337370403,717494.935466215,2.949337041810308,3.939973458296526
26,1.0,504013.0253347568,470376.93872256204,2.4808920621153354,2.419415034216261,451223.1189334765,404564.0927284919,2.27682337450808,2.155212770382013
27,1.0,587614.8676201329,661392.5502458736,3.132031049748951,3.4921487598341545,471630.9057450555,567957.4499529861,2.5884806911431846,3.078257173239785
28,1.0,541123.1237181388,545983.0650163069,2.778639456093072,2.8453228015836545,463183.1032580696,467720.6771450862,2.4431133300126993,2.5114456094829265
29,1.0,510611.6879045591,516686.429742977,2.625582866331771,2.685315798633049,436498.92723557726,443402.896665141,2.3078212696206224,2.374057534041783
30,1.0,503963.8929437287,572379.6834986322,2.6113202071261914,2.989713880674703,399975.52624620125,489031.31228226796,2.129585372524409,2.626485430962987
31,1.0,489303.70923002437,474581.7907897644,2.4542994681245407,2.4564580647584355,429236.6667552218,407675.673515141,2.20655229232113,2.1773388961274605
32,1.0,619592.9113431238,664686.7483083308,3.140824111153824,3.495413479190377,521046.95416009426,574734.5339844897,2.701769961695039,3.113617638759277
33,1.0,538358.4662523344,617443.7387748212,2.8728192982762613,3.2426606832849725,422708.49432771653,527067.1950406283,2.3246129554670545,2.839977706967617
34,1.0,597437.2647694722,660803.312441986,3.1203721843515693,3.4807276660141646,491762.9383835271,572381.2127182744,2.6395475069997296,3.09960782125682
35,1.667,659514.7028776892,785693.2351810634,3.5384979802085166,4.230731943546254,551423.6886966825,686674.5572897121,3.0213811656837573,3.8050312004659594
36,1.0,575655.381840907,727276.5038262308,3.086252840357393,3.922298799260787,454919.20694822446,644702.6710646115,2.495449623640766,3.5586624900172406
37,1.0,499198.4757832028,516686.42974298075,2.599218109738676,2.6832323642240854,420665.2699048482,443402.89666513726,2.255343749701906,2.368314782758639
38,1.0,495926.0696408972,556051.3335350379,2.6280392730407596,2.8978563229990506,397142.3734608069,476292.2052202001,2.1735622837688715,2.5515824569247587
39,1.856,657668.457746651,778478.9929284342,3.6138696832821724,4.180638743396412,554420.3514826335,679834.5001479909,3.1161153449945913,3.752628126023158
