channel,channel_name,program_type,break_position,break_length,daypart,date,hour,len_min,break_seconds,num_spots,shed,log_effect,observed_ratio,expected_ratio,ordinal,first_break,prog_key,cluster,start_min
כאן 11,Other_last_standard,Other,last,standard,overnight,2024-11-01,2,1.8,108.0,3,-0.09879230279336282,0.09879230279336282,1.08,0.9784053156146179,1.0,1,"('כאן 11', '2024-11-01', 7)","('כאן 11', '2024-11-01', 7)",2024-11-01 02:33:00
כאן 11,Other_middle_short,Other,middle,short,overnight,2024-11-01,3,1.3833333333333333,83.0,3,0.21518289337390906,-0.21518289337390906,0.7297297297297297,0.9049295774647886,1.0,1,"('כאן 11', '2024-11-01', 9)","('כאן 11', '2024-11-01', 9)",2024-11-01 03:05:00
כאן 11,Other_last_standard,Other,last,standard,overnight,2024-11-01,3,2.316666666666667,139.0,3,0.0689928714869516,-0.0689928714869516,0.8000000000000002,0.8571428571428574,1.0,1,"('כאן 11', '2024-11-01', 11)","('כאן 11', '2024-11-01', 11)",2024-11-01 03:39:00
כאן 11,Other_first_short,Other,first,short,overnight,2024-11-01,3,1.3833333333333333,83.0,2,-0.2982340026692794,0.2982340026692794,1.2499999999999998,0.9276595744680852,1.0,1,"('כאן 11', '2024-11-01', 13)","('כאן 11', '2024-11-01', 13)",2024-11-01 03:48:00
כאן 11,PrimeShow2_middle_standard,PrimeShow2,middle,standard,afternoon,2024-11-01,12,2.0166666666666666,121.0,4,0.06028757198676005,-0.06028757198676005,0.9210526315789475,0.9782886334610471,1.0,1,"('כאן 11', '2024-11-01', 30)","('כאן 11', '2024-11-01', 30)",2024-11-01 12:24:00
כאן 11,PrimeShow2_last_standard,PrimeShow2,last,standard,afternoon,2024-11-01,12,2.4833333333333334,149.0,4,-0.1453348083494073,0.1453348083494073,1.1428571428571428,0.9882659713168186,2.0,0,"('כאן 11', '2024-11-01', 30)","('כאן 11', '2024-11-01', 30)",2024-11-01 12:38:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-01,13,2.0166666666666666,121.0,4,-0.013793322132335873,0.013793322132335873,1.0,0.9863013698630136,1.0,1,"('כאן 11', '2024-11-01', 35)","('כאן 11', '2024-11-01', 35)",2024-11-01 13:27:00
כאן 11,PrimeShow2_middle_short,PrimeShow2,middle,short,afternoon,2024-11-01,14,0.65,39.0,2,0.21019591105738442,-0.21019591105738442,0.8909090909090911,1.0993103448275863,1.0,1,"('כאן 11', '2024-11-01', 43)","('כאן 11', '2024-11-01', 43)",2024-11-01 14:15:00
כאן 11,Other_last_short,Other,last,short,afternoon,2024-11-01,14,1.3333333333333333,80.0,3,-0.19942685377496913,0.19942685377496913,1.181818181818182,0.9681456200227533,1.0,1,"('כאן 11', '2024-11-01', 45)","('כאן 11', '2024-11-01', 45)",2024-11-01 14:45:00
כאן 11,Other_first_standard,Other,first,standard,afternoon,2024-11-01,15,1.85,111.0,3,-0.08214939488780383,0.08214939488780383,1.0975609756097562,1.011001100110011,1.0,1,"('כאן 11', '2024-11-01', 47)","('כאן 11', '2024-11-01', 47)",2024-11-01 15:07:00
כאן 11,Other_last_standard,Other,last,standard,afternoon,2024-11-01,15,1.6833333333333333,101.0,3,-0.01494325879557557,0.01494325879557557,1.0,0.9851678376268542,2.0,0,"('כאן 11', '2024-11-01', 47)","('כאן 11', '2024-11-01', 47)",2024-11-01 15:42:00
