len_min,linear_fit,linear_lo,linear_hi,quadratic_fit,quadratic_lo,quadratic_hi,spline_fit,spline_lo,spline_hi,bins_fit,bins_lo,bins_hi
0.5,0.05193,0.00017,0.10135,0.03767,-0.01455,0.08982,0.06309,0.00196,0.12187,0.03358,-0.02645,0.09298
0.75,0.05276,0.00123,0.1024,0.04117,-0.01109,0.09207,0.06041,0.00316,0.11546,0.07513,0.0133,0.13199
1.0,0.05359,0.00316,0.10233,0.04452,-0.00719,0.09444,0.05772,0.00432,0.10997,0.07513,0.0133,0.13199
1.25,0.05442,0.00441,0.10281,0.04771,-0.00246,0.09749,0.0551,0.0038,0.10505,0.0528,-0.00333,0.10317
1.5,0.05525,0.00503,0.10344,0.05075,0.00128,0.0999,0.05296,0.00192,0.10275,0.0528,-0.00333,0.10317
1.75,0.05608,0.00573,0.10408,0.05363,0.00409,0.10157,0.05184,0.00089,0.10091,0.05953,0.00066,0.11744
2.0,0.05692,0.00619,0.1044,0.05637,0.00663,0.10387,0.05228,0.00242,0.10038,0.05953,0.00066,0.11744
2.25,0.05775,0.00719,0.10501,0.05894,0.0088,0.10585,0.05444,0.00263,0.10199,0.0547,0.00122,0.10664
2.5,0.05858,0.00846,0.10601,0.06136,0.01091,0.10804,0.05794,0.00523,0.1055,0.0547,0.00122,0.10664
2.75,0.05941,0.00908,0.10666,0.06363,0.01395,0.10986,0.0624,0.01051,0.10847,0.0291,-0.02616,0.08571
3.0,0.06024,0.01,0.10741,0.06575,0.01557,0.11153,0.06741,0.01463,0.11357,0.0291,-0.02616,0.08571
3.25,0.06107,0.01124,0.10859,0.06771,0.01671,0.11316,0.07257,0.01948,0.11992,0.0291,-0.02616,0.08571
3.5,0.06191,0.01269,0.10887,0.06952,0.01842,0.1156,0.0775,0.02569,0.12503,0.08873,0.02098,0.15592
3.75,0.06274,0.01414,0.10977,0.07117,0.01974,0.11791,0.08183,0.02773,0.12961,0.08873,0.02098,0.15592
4.0,0.06357,0.01473,0.11004,0.07267,0.02106,0.11993,0.08548,0.03116,0.13412,0.08873,0.02098,0.15592
4.25,0.0644,0.01569,0.11158,0.07402,0.02192,0.12106,0.08849,0.03349,0.13834,0.08873,0.02098,0.15592
4.5,0.06523,0.01655,0.11319,0.07521,0.02269,0.12284,0.0909,0.03477,0.14145,0.11,0.04899,0.16358
4.75,0.06606,0.01717,0.11412,0.07625,0.02363,0.12438,0.09276,0.03613,0.14399,0.11,0.04899,0.16358
5.0,0.0669,0.01833,0.11495,0.07713,0.0245,0.12569,0.0941,0.03805,0.14631,0.11,0.04899,0.16358
5.25,0.06773,0.01888,0.11578,0.07786,0.02473,0.12675,0.09498,0.03985,0.14783,0.11,0.04899,0.16358
5.5,0.06856,0.01916,0.1166,0.07844,0.0252,0.12776,0.09542,0.04029,0.14881,0.11,0.04899,0.16358
5.75,0.06939,0.01943,0.11746,0.07886,0.02589,0.1289,0.09547,0.04058,0.14888,0.11,0.04899,0.16358
6.0,0.07022,0.01978,0.11883,0.07913,0.02556,0.12881,0.09518,0.0409,0.14822,0.0948,0.03747,0.14871
6.25,0.07105,0.02031,0.12039,0.07924,0.02643,0.1286,0.09459,0.04034,0.14656,0.0948,0.03747,0.14871
6.5,0.07189,0.02115,0.12107,0.0792,0.02647,0.12814,0.09374,0.03891,0.1456,0.0948,0.03747,0.14871
6.75,0.07272,0.02239,0.12214,0.07901,0.02622,0.12786,0.09267,0.03765,0.1446,0.0948,0.03747,0.14871
7.0,0.07355,0.022,0.12286,0.07866,0.02676,0.12757,0.09142,0.03582,0.14333,0.0948,0.03747,0.14871
7.25,0.07438,0.02247,0.12357,0.07816,0.02583,0.12707,0.09003,0.0364,0.14369,0.0948,0.03747,0.14871
7.5,0.07521,0.02348,0.12429,0.07751,0.02502,0.12685,0.08856,0.03631,0.14306,0.0948,0.03747,0.14871
7.75,0.07604,0.0243,0.12515,0.0767,0.02459,0.12646,0.08703,0.0335,0.14231,0.0948,0.03747,0.14871
8.0,0.07688,0.02523,0.12636,0.07574,0.02401,0.12591,0.08549,0.03296,0.14157,0.07674,0.01934,0.13261
8.25,0.07771,0.02616,0.12756,0.07462,0.02343,0.12442,0.08395,0.03202,0.14008,0.07674,0.01934,0.13261
8.5,0.07854,0.02692,0.12875,0.07335,0.02229,0.12419,0.08241,0.02988,0.13811,0.07674,0.01934,0.13261
8.75,0.07937,0.02742,0.12998,0.07192,0.02122,0.12289,0.08087,0.02776,0.13668,0.07674,0.01934,0.13261
9.0,0.0802,0.02792,0.13086,0.07035,0.01909,0.12069,0.07933,0.02564,0.13548,0.07674,0.01934,0.13261
9.25,0.08103,0.02842,0.13197,0.06861,0.01558,0.11823,0.0778,0.02355,0.13419,0.07674,0.01934,0.13261
9.5,0.08187,0.02892,0.13343,0.06673,0.01227,0.11876,0.07626,0.02055,0.13377,0.07674,0.01934,0.13261
9.75,0.0827,0.02942,0.13488,0.06469,0.00825,0.12032,0.07472,0.0169,0.133,0.07674,0.01934,0.13261
10.0,0.08353,0.03023,0.13619,0.0625,0.00525,0.12141,0.07318,0.01328,0.13148,0.07674,0.01934,0.13261
