prog_key,n_breaks,total_seconds,channel,program_type,hour,day,daypart,total_minutes_rounded,n_meas,total_shed,mean_len,n_keyed,fully_measured
"('כאן 11', '2024-11-01', 7)",1,108.0,כאן 11,Other,2,2024-11-01,overnight,2,1.0,-0.09879230279336282,1.8,1,True
"('כאן 11', '2024-11-01', 9)",1,83.0,כאן 11,Other,3,2024-11-01,overnight,1,1.0,0.21518289337390906,1.3833333333333333,1,True
"('כאן 11', '2024-11-01', 11)",1,139.0,כאן 11,Other,3,2024-11-01,overnight,2,1.0,0.0689928714869516,2.316666666666667,1,True
"('כאן 11', '2024-11-01', 13)",1,83.0,כאן 11,Other,3,2024-11-01,overnight,1,1.0,-0.2982340026692794,1.3833333333333333,1,True
"('כאן 11', '2024-11-01', 30)",2,270.0,כאן 11,PrimeShow2,12,2024-11-01,afternoon,4,2.0,-0.08504723636264724,2.25,2,True
"('כאן 11', '2024-11-01', 35)",1,121.0,כאן 11,Other,13,2024-11-01,afternoon,2,1.0,-0.013793322132335873,2.0166666666666666,1,True
"('כאן 11', '2024-11-01', 43)",1,39.0,כאן 11,PrimeShow2,14,2024-11-01,afternoon,1,1.0,0.21019591105738442,0.65,1,True
"('כאן 11', '2024-11-01', 45)",1,80.0,כאן 11,Other,14,2024-11-01,afternoon,1,1.0,-0.19942685377496913,1.3333333333333333,1,True
"('כאן 11', '2024-11-01', 47)",2,212.0,כאן 11,Other,15,2024-11-01,afternoon,4,2.0,-0.0970926536833794,1.7666666666666666,2,True
"('כאן 11', '2024-11-01', 51)",1,150.0,כאן 11,Other,16,2024-11-01,afternoon,2,1.0,-0.21270688256708775,2.5,1,True
"('כאן 11', '2024-11-01', 53)",1,69.0,כאן 11,Other,16,2024-11-01,afternoon,1,1.0,0.15657112665570966,1.15,1,True
"('כאן 11', '2024-11-01', 55)",2,295.0,כאן 11,Other,17,2024-11-01,early_evening,5,2.0,-0.11304513908122213,2.458333333333333,2,True
"('כאן 11', '2024-11-01', 58)",3,372.0,כאן 11,Other,18,2024-11-01,early_evening,6,3.0,0.32486369667374737,2.066666666666667,3,True
"('כאן 11', '2024-11-01', 62)",2,73.0,כאן 11,News,21,2024-11-01,late_evening,1,2.0,-0.14138856832275573,0.6083333333333334,2,True
"('כאן 11', '2024-11-01', 64)",2,336.0,כאן 11,PrimeShow2,22,2024-11-01,late_evening,6,2.0,-0.17160774713514707,2.8,2,True
"('כאן 11', '2024-11-01', 67)",1,140.0,כאן 11,Other,23,2024-11-01,late_evening,2,1.0,-0.03639209535213911,2.3333333333333335,1,True
"('כאן 11', '2024-11-01', 70)",1,152.0,כאן 11,PrimeShow1,23,2024-11-01,late_evening,3,1.0,0.054411172432601955,2.533333333333333,1,True
"('כאן 11', '2024-11-02', 0)",1,148.0,כאן 11,Other,0,2024-11-02,overnight,2,1.0,-0.1313893823691039,2.466666666666667,1,True
"('כאן 11', '2024-11-02', 2)",2,188.0,כאן 11,Other,1,2024-11-02,overnight,3,2.0,0.26402256990624445,1.5666666666666667,2,True
"('כאן 11', '2024-11-02', 7)",1,70.0,כאן 11,Other,2,2024-11-02,overnight,1,1.0,0.29425930273977685,1.1666666666666667,1,True
"('כאן 11', '2024-11-02', 13)",2,112.0,כאן 11,Other,3,2024-11-02,overnight,2,2.0,-0.1385689373925631,0.9333333333333333,2,True
"('כאן 11', '2024-11-02', 16)",1,58.0,כאן 11,Other,4,2024-11-02,overnight,1,1.0,-0.027524673390089804,0.9666666666666667,1,True
"('כאן 11', '2024-11-02', 19)",2,131.0,כאן 11,Other,5,2024-11-02,overnight,2,2.0,1.4731325929268522,1.0916666666666668,2,True
"('כאן 11', '2024-11-02', 22)",1,61.0,כאן 11,Other,5,2024-11-02,overnight,1,1.0,0.1409363406311005,1.0166666666666666,1,True
"('כאן 11', '2024-11-02', 28)",1,103.0,כאן 11,PrimeShow1,7,2024-11-02,morning,2,1.0,0.016755913728439077,1.7166666666666666,1,True
"('כאן 11', '2024-11-02', 30)",1,70.0,כאן 11,Other,7,2024-11-02,morning,1,1.0,0.12890806263965016,1.1666666666666667,1,True
"('כאן 11', '2024-11-02', 38)",1,62.0,כאן 11,Other,8,2024-11-02,morning,1,1.0,-0.28351663947271755,1.0333333333333334,1,True
"('כאן 11', '2024-11-02', 41)",1,132.0,כאן 11,PrimeShow2,9,2024-11-02,morning,2,1.0,0.008507850134217114,2.2,1,True
"('כאן 11', '2024-11-02', 43)",1,53.0,כאן 11,Other,9,2024-11-02,morning,1,1.0,0.13324099041542528,0.8833333333333333,1,True
"('כאן 11', '2024-11-02', 45)",1,94.0,כאן 11,Other,9,2024-11-02,morning,2,1.0,-0.052930293995811964,1.5666666666666667,1,True
"('כאן 11', '2024-11-02', 48)",2,270.0,כאן 11,PrimeShow1,12,2024-11-02,afternoon,4,2.0,0.008565402906591878,2.25,2,True
"('כאן 11', '2024-11-02', 53)",1,103.0,כאן 11,Other,13,2024-11-02,afternoon,2,1.0,-0.11684426878564828,1.7166666666666666,1,True
"('כאן 11', '2024-11-02', 57)",1,130.0,כאן 11,Other,14,2024-11-02,afternoon,2,1.0,0.06899287148695146,2.1666666666666665,1,True
"('כאן 11', '2024-11-02', 59)",2,252.0,כאן 11,Other,14,2024-11-02,afternoon,4,2.0,0.026237214953558456,2.1,2,True
"('כאן 11', '2024-11-02', 64)",1,114.0,כאן 11,Other,15,2024-11-02,afternoon,2,1.0,-0.04765142828576678,1.9,1,True
"('כאן 11', '2024-11-02', 66)",3,354.0,כאן 11,News,16,2024-11-02,afternoon,6,3.0,-0.5758459238547677,1.9666666666666668,3,True
"('כאן 11', '2024-11-02', 70)",1,146.0,כאן 11,News,18,2024-11-02,early_evening,2,1.0,0.17462070672084543,2.433333333333333,1,True
"('כאן 11', '2024-11-02', 75)",2,352.0,כאן 11,PrimeShow2,21,2024-11-02,late_evening,6,2.0,0.10147261710557609,2.9333333333333336,2,True
"('כאן 11', '2024-11-02', 78)",2,321.0,כאן 11,Other,22,2024-11-02,late_evening,5,2.0,0.1919869497233099,2.675,2,True
"('כאן 11', '2024-11-02', 81)",1,36.0,כאן 11,Other,23,2024-11-02,late_evening,1,1.0,0.316032139891537,0.6,1,True
"('כאן 11', '2024-11-03', 0)",1,148.0,כאן 11,Other,0,2024-11-03,overnight,2,1.0,-0.46127070443594387,2.466666666666667,1,True
"('כאן 11', '2024-11-03', 3)",2,174.0,כאן 11,PrimeShow2,1,2024-11-03,overnight,3,2.0,-0.09291567702298156,1.4500000000000002,2,True
"('כאן 11', '2024-11-03', 7)",1,88.0,כאן 11,Other,2,2024-11-03,overnight,1,1.0,0.6430703037632959,1.4666666666666666,1,True
"('כאן 11', '2024-11-03', 9)",1,165.0,כאן 11,Other,2,2024-11-03,overnight,3,1.0,-0.05989814158106908,2.75,1,True
"('כאן 11', '2024-11-03', 11)",2,234.0,כאן 11,Other,3,2024-11-03,overnight,4,2.0,-0.571960217800565,1.95,2,True
"('כאן 11', '2024-11-03', 14)",2,254.0,כאן 11,Other,4,2024-11-03,overnight,4,2.0,0.09815488263556515,2.1166666666666667,2,True
"('כאן 11', '2024-11-03', 19)",2,132.0,כאן 11,Other,5,2024-11-03,overnight,2,2.0,0.4264636151978863,1.1,2,True
"('כאן 11', '2024-11-03', 22)",3,307.0,כאן 11,Other,6,2024-11-03,morning,5,3.0,0.04245084656466808,1.7055555555555557,3,True
"('כאן 11', '2024-11-03', 27)",1,26.0,כאן 11,News,8,2024-11-03,morning,0,1.0,-0.0981920261792137,0.43333333333333335,1,True
"('כאן 11', '2024-11-03', 30)",1,56.0,כאן 11,News,9,2024-11-03,morning,1,1.0,0.1622173158625519,0.9333333333333333,1,True
"('כאן 11', '2024-11-03', 33)",1,84.0,כאן 11,News,10,2024-11-03,morning,1,1.0,0.3682559612421993,1.4,1,True
"('כאן 11', '2024-11-03', 39)",2,261.0,כאן 11,PrimeShow1,12,2024-11-03,afternoon,4,2.0,-0.30112773321533204,2.175,2,True
"('כאן 11', '2024-11-03', 42)",2,280.0,כאן 11,Other,13,2024-11-03,afternoon,5,2.0,0.07510810677295306,2.3333333333333335,2,True
"('כאן 11', '2024-11-03', 45)",1,154.0,כאן 11,News,14,2024-11-03,afternoon,3,1.0,-0.21924491089855203,2.566666666666667,1,True
"('כאן 11', '2024-11-03', 49)",1,125.0,כאן 11,Other,14,2024-11-03,afternoon,2,1.0,-0.009939341902558,2.0833333333333335,1,True
"('כאן 11', '2024-11-03', 51)",2,241.0,כאן 11,News,15,2024-11-03,afternoon,4,2.0,-0.43835962172958043,2.0083333333333333,2,True
"('כאן 11', '2024-11-03', 54)",2,249.0,כאן 11,Other,16,2024-11-03,afternoon,4,2.0,-0.10010494417161775,2.075,2,True
"('כאן 11', '2024-11-03', 58)",4,489.0,כאן 11,News,17,2024-11-03,early_evening,8,4.0,0.8322227181264834,2.0375,4,True
"('כאן 11', '2024-11-03', 68)",2,374.0,כאן 11,Other,21,2024-11-03,late_evening,6,2.0,0.05045080833201136,3.1166666666666663,2,True
"('כאן 11', '2024-11-03', 71)",1,215.0,כאן 11,Other,22,2024-11-03,late_evening,4,1.0,0.493834778066544,3.5833333333333335,1,True
"('כאן 11', '2024-11-03', 73)",1,136.0,כאן 11,Other,23,2024-11-03,late_evening,2,1.0,0.27319347278820294,2.2666666666666666,1,True
"('כאן 11', '2024-11-03', 75)",1,134.0,כאן 11,News,23,2024-11-03,late_evening,2,1.0,0.40684391525308,2.2333333333333334,1,True
"('כאן 11', '2024-11-03', 77)",1,18.0,כאן 11,PrimeShow2,23,2024-11-03,late_evening,0,1.0,0.5445245117349642,0.3,1,True
"('כאן 11', '2024-11-04', 0)",1,158.0,כאן 11,Other,0,2024-11-04,overnight,3,1.0,-0.25013309323507477,2.6333333333333333,1,True
"('כאן 11', '2024-11-04', 1)",1,146.0,כאן 11,News,0,2024-11-04,overnight,2,1.0,-0.07192256108243002,2.433333333333333,1,True
"('כאן 11', '2024-11-04', 3)",2,237.0,כאן 11,PrimeShow2,1,2024-11-04,overnight,4,2.0,-0.12112760469483771,1.975,2,True
"('כאן 11', '2024-11-04', 7)",1,118.0,כאן 11,Other,2,2024-11-04,overnight,2,1.0,-0.16633467865593113,1.9666666666666666,1,True
"('כאן 11', '2024-11-04', 9)",1,71.0,כאן 11,Other,3,2024-11-04,overnight,1,1.0,-0.0842037008354312,1.1833333333333333,1,True
"('כאן 11', '2024-11-04', 13)",1,88.0,כאן 11,Other,3,2024-11-04,overnight,1,1.0,-1.4647659765613859,1.4666666666666666,1,True
"('כאן 11', '2024-11-04', 17)",1,140.0,כאן 11,Other,4,2024-11-04,overnight,2,1.0,0.2687821213212968,2.3333333333333335,1,True
"('כאן 11', '2024-11-04', 20)",2,221.0,כאן 11,Other,5,2024-11-04,overnight,4,2.0,-0.038650284133993074,1.8416666666666668,2,True
"('כאן 11', '2024-11-04', 24)",2,239.0,כאן 11,Other,6,2024-11-04,morning,4,2.0,0.21891355782762062,1.9916666666666667,2,True
"('כאן 11', '2024-11-04', 27)",1,64.0,כאן 11,News,7,2024-11-04,morning,1,1.0,0.7261870346381456,1.0666666666666667,1,True
"('כאן 11', '2024-11-04', 30)",1,75.0,כאן 11,News,8,2024-11-04,morning,1,1.0,0.14656500155553315,1.25,1,True
"('כאן 11', '2024-11-04', 33)",1,67.0,כאן 11,News,9,2024-11-04,morning,1,1.0,0.10612784921150854,1.1166666666666667,1,True
"('כאן 11', '2024-11-04', 36)",1,59.0,כאן 11,News,10,2024-11-04,morning,1,1.0,0.08539317522636744,0.9833333333333333,1,True
"('כאן 11', '2024-11-04', 39)",1,64.0,כאן 11,News,11,2024-11-04,morning,1,1.0,-0.07522342123758763,1.0666666666666667,1,True
"('כאן 11', '2024-11-04', 42)",2,260.0,כאן 11,PrimeShow1,12,2024-11-04,afternoon,4,2.0,0.2273969414504758,2.166666666666667,2,True
