channel,channel_name,start_min,end_min,break_seconds,len_min,num_spots,program_type,break_position,break_length,ordinal,prog_key,gap_prev_min,gap_next_min,measured,title,shed
כאן 11,Other_first_standard,2024-11-01 00:10:00,2024-11-01 00:13:00,131.0,2.183333333333333,6,Other,first,standard,1.0,"('כאן 11', '2024-11-01', 0)",,33.0,0,,
כאן 11,Other_middle_standard,2024-11-01 00:46:00,2024-11-01 00:48:00,153.0,2.55,4,Other,middle,standard,1.0,"('כאן 11', '2024-11-01', 1)",33.0,24.0,0,,
כאן 11,Other_last_standard,2024-11-01 01:12:00,2024-11-01 01:14:00,113.0,1.8833333333333333,3,Other,last,standard,2.0,"('כאן 11', '2024-11-01', 1)",24.0,29.0,0,,
כאן 11,Other_middle_standard,2024-11-01 01:43:00,2024-11-01 01:45:00,144.0,2.4,4,Other,middle,standard,1.0,"('כאן 11', '2024-11-01', 4)",29.0,48.0,0,,
כאן 11,Other_last_standard,2024-11-01 02:33:00,2024-11-01 02:34:00,108.0,1.8,3,Other,last,standard,1.0,"('כאן 11', '2024-11-01', 7)",48.0,31.0,1,זהו זה עונה 7 ש.ח,-0.09879230279336282
כאן 11,Other_middle_short,2024-11-01 03:05:00,2024-11-01 03:06:00,83.0,1.3833333333333333,3,Other,middle,short,1.0,"('כאן 11', '2024-11-01', 9)",31.0,33.0,1,מה שתגידו 4 ש.ח,0.21518289337390906
כאן 11,Other_last_standard,2024-11-01 03:39:00,2024-11-01 03:42:00,139.0,2.316666666666667,3,Other,last,standard,1.0,"('כאן 11', '2024-11-01', 11)",33.0,6.0,1,משפחה בהסעה עונה 2 ש.ח,0.0689928714869516
כאן 11,Other_first_short,2024-11-01 03:48:00,2024-11-01 03:50:00,83.0,1.3833333333333333,2,Other,first,short,1.0,"('כאן 11', '2024-11-01', 13)",6.0,27.0,1,,-0.2982340026692794
כאן 11,Other_middle_standard,2024-11-01 04:17:00,2024-11-01 04:18:00,102.0,1.7,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-01', 14)",27.0,62.0,0,,
כאן 11,Other_middle_standard,2024-11-01 05:20:00,2024-11-01 05:22:00,130.0,2.1666666666666665,3,Other,middle,standard,1.0,"('כאן 11', '2024-11-01', 19)",62.0,16.0,0,,
כאן 11,Other_last_standard,2024-11-01 05:38:00,2024-11-01 05:40:00,102.0,1.7,3,Other,last,standard,2.0,"('כאן 11', '2024-11-01', 19)",16.0,404.0,0,,
