_bin,len_mid,shed_mean,shed_sem,n
0,0.4830357142857143,0.008685727684036054,0.017816384962293073,112
1,1.0167235494880544,0.038763560375528215,0.013525311350698746,293
2,1.5069970845481049,0.02078820721493496,0.013084127752627794,343
3,1.9936111111111112,0.04726056698733259,0.015030270623013136,420
4,2.4681084198385235,0.04344705148788155,0.016208147065812396,289
5,3.0777153558052435,0.005922362913027997,0.016851110437187126,178
6,3.974657534246575,0.0478833606892572,0.020274654202748328,146
7,5.300068306010929,0.0623076531118985,0.01343607485610773,244
8,6.9191937424789405,0.05362575760194908,0.01113380698069731,277
9,9.322391304347827,0.04744763464221401,0.012114533669829034,230
