arm,w,eval_world_multiplier,channel,day,gross_ils,cost_ils,net_ils,breaks,violations
baseline_1.947_w1.00,1.0,1.947,כאן 11,2024-11-01,784782.35,113349.25,671433.1,74,0
baseline_1.947_w1.00,1.0,1.947,כאן 11,2024-11-02,1446023.65,260721.95,1185301.69,80,0
baseline_1.947_w1.00,1.0,1.947,כאן 11,2024-11-03,710122.14,119605.86,590516.29,80,0
baseline_1.947_w1.00,1.0,1.947,עכשיו 14,2024-11-01,457793.65,67986.35,389807.3,40,0
baseline_1.947_w1.00,1.0,1.947,עכשיו 14,2024-11-02,824502.4,147627.2,676875.2,29,0
baseline_1.947_w1.00,1.0,1.947,עכשיו 14,2024-11-03,1521572.97,266367.03,1255205.94,76,0
baseline_1.947_w1.00,1.0,1.947,קשת 12,2024-11-01,3207748.45,413178.35,2794570.09,80,0
baseline_1.947_w1.00,1.0,1.947,קשת 12,2024-11-02,3532935.1,469112.9,3063822.2,80,0
baseline_1.947_w1.00,1.0,1.947,קשת 12,2024-11-03,3375050.1,449769.9,2925280.2,80,0
baseline_1.947_w1.00,1.0,1.947,רשת 13,2024-11-01,985394.36,138657.04,846737.33,80,0
baseline_1.947_w1.00,1.0,1.947,רשת 13,2024-11-02,1314036.57,204357.03,1109679.53,79,0
baseline_1.947_w1.00,1.0,1.947,רשת 13,2024-11-03,1423184.64,205959.36,1217225.28,80,0
baseline_1.947_w1.00,1.0,1.690,כאן 11,2024-11-01,796169.94,101961.66,694208.28,74,0
baseline_1.947_w1.00,1.0,1.690,כאן 11,2024-11-02,1468295.33,238450.27,1229845.06,80,0
baseline_1.947_w1.00,1.0,1.690,כאן 11,2024-11-03,721046.88,108681.12,612365.76,80,0
baseline_1.947_w1.00,1.0,1.690,עכשיו 14,2024-11-01,464338.51,61441.49,402897.03,40,0
baseline_1.947_w1.00,1.0,1.690,עכשיו 14,2024-11-02,837271.55,134858.05,702413.51,29,0
baseline_1.947_w1.00,1.0,1.690,עכשיו 14,2024-11-03,1544855.07,243084.93,1301770.14,76,0
baseline_1.947_w1.00,1.0,1.690,קשת 12,2024-11-01,3253660.3,367266.5,2886393.8,80,0
baseline_1.947_w1.00,1.0,1.690,קשת 12,2024-11-02,3584113.74,417934.26,3166179.47,80,0
baseline_1.947_w1.00,1.0,1.690,קשת 12,2024-11-03,3424475.44,400344.56,3024130.88,80,0
baseline_1.947_w1.00,1.0,1.690,רשת 13,2024-11-01,999472.55,124578.85,874893.69,80,0
baseline_1.947_w1.00,1.0,1.690,רשת 13,2024-11-02,1333366.26,185027.34,1148338.92,79,0
baseline_1.947_w1.00,1.0,1.690,רשת 13,2024-11-03,1443802.11,185341.89,1258460.23,80,0
honest_1.690_w1.000,1.0,1.947,כאן 11,2024-11-01,784782.35,113349.25,671433.1,74,0
honest_1.690_w1.000,1.0,1.947,כאן 11,2024-11-02,1446023.65,260721.95,1185301.69,80,0
honest_1.690_w1.000,1.0,1.947,כאן 11,2024-11-03,710122.14,119605.86,590516.29,80,0
honest_1.690_w1.000,1.0,1.947,עכשיו 14,2024-11-01,457793.65,67986.35,389807.3,40,0
honest_1.690_w1.000,1.0,1.947,עכשיו 14,2024-11-02,824502.4,147627.2,676875.2,29,0
honest_1.690_w1.000,1.0,1.947,עכשיו 14,2024-11-03,1521572.97,266367.03,1255205.94,76,0
honest_1.690_w1.000,1.0,1.947,קשת 12,2024-11-01,3207748.45,413178.35,2794570.09,80,0
honest_1.690_w1.000,1.0,1.947,קשת 12,2024-11-02,3532935.1,469112.9,3063822.2,80,0
honest_1.690_w1.000,1.0,1.947,קשת 12,2024-11-03,3375050.1,449769.9,2925280.2,80,0
honest_1.690_w1.000,1.0,1.947,רשת 13,2024-11-01,985394.36,138657.04,846737.33,80,0
honest_1.690_w1.000,1.0,1.947,רשת 13,2024-11-02,1314036.57,204357.03,1109679.53,79,0
honest_1.690_w1.000,1.0,1.947,רשת 13,2024-11-03,1442049.95,212438.05,1229611.9,80,0
honest_1.690_w1.000,1.0,1.690,כאן 11,2024-11-01,796169.94,101961.66,694208.28,74,0
honest_1.690_w1.000,1.0,1.690,כאן 11,2024-11-02,1468295.33,238450.27,1229845.06,80,0
honest_1.690_w1.000,1.0,1.690,כאן 11,2024-11-03,721046.88,108681.12,612365.76,80,0
honest_1.690_w1.000,1.0,1.690,עכשיו 14,2024-11-01,464338.51,61441.49,402897.03,40,0
honest_1.690_w1.000,1.0,1.690,עכשיו 14,2024-11-02,837271.55,134858.05,702413.51,29,0
honest_1.690_w1.000,1.0,1.690,עכשיו 14,2024-11-03,1544855.07,243084.93,1301770.14,76,0
honest_1.690_w1.000,1.0,1.690,קשת 12,2024-11-01,3253660.3,367266.5,2886393.8,80,0
honest_1.690_w1.000,1.0,1.690,קשת 12,2024-11-02,3584113.74,417934.26,3166179.47,80,0
honest_1.690_w1.000,1.0,1.690,קשת 12,2024-11-03,3424475.44,400344.56,3024130.88,80,0
honest_1.690_w1.000,1.0,1.690,רשת 13,2024-11-01,999472.55,124578.85,874893.69,80,0
honest_1.690_w1.000,1.0,1.690,רשת 13,2024-11-02,1333366.26,185027.34,1148338.92,79,0
honest_1.690_w1.000,1.0,1.690,רשת 13,2024-11-03,1462985.03,191502.97,1271482.06,80,0
honest_1.690_w1.050,1.05,1.947,כאן 11,2024-11-01,784782.35,113349.25,671433.1,74,0
honest_1.690_w1.050,1.05,1.947,כאן 11,2024-11-02,1446023.65,260721.95,1185301.69,80,0
honest_1.690_w1.050,1.05,1.947,כאן 11,2024-11-03,710122.14,119605.86,590516.29,80,0
honest_1.690_w1.050,1.05,1.947,עכשיו 14,2024-11-01,457793.65,67986.35,389807.3,40,0
honest_1.690_w1.050,1.05,1.947,עכשיו 14,2024-11-02,824502.4,147627.2,676875.2,29,0
honest_1.690_w1.050,1.05,1.947,עכשיו 14,2024-11-03,1521572.97,266367.03,1255205.94,76,0
honest_1.690_w1.050,1.05,1.947,קשת 12,2024-11-01,3207748.45,413178.35,2794570.09,80,0
honest_1.690_w1.050,1.05,1.947,קשת 12,2024-11-02,3532935.1,469112.9,3063822.2,80,0
honest_1.690_w1.050,1.05,1.947,קשת 12,2024-11-03,3375050.1,449769.9,2925280.2,80,0
honest_1.690_w1.050,1.05,1.947,רשת 13,2024-11-01,985394.36,138657.04,846737.33,80,0
honest_1.690_w1.050,1.05,1.947,רשת 13,2024-11-02,1314036.57,204357.03,1109679.53,79,0
honest_1.690_w1.050,1.05,1.947,רשת 13,2024-11-03,1423184.64,205959.36,1217225.28,80,0
honest_1.690_w1.050,1.05,1.690,כאן 11,2024-11-01,796169.94,101961.66,694208.28,74,0
honest_1.690_w1.050,1.05,1.690,כאן 11,2024-11-02,1468295.33,238450.27,1229845.06,80,0
honest_1.690_w1.050,1.05,1.690,כאן 11,2024-11-03,721046.88,108681.12,612365.76,80,0
honest_1.690_w1.050,1.05,1.690,עכשיו 14,2024-11-01,464338.51,61441.49,402897.03,40,0
honest_1.690_w1.050,1.05,1.690,עכשיו 14,2024-11-02,837271.55,134858.05,702413.51,29,0
honest_1.690_w1.050,1.05,1.690,עכשיו 14,2024-11-03,1544855.07,243084.93,1301770.14,76,0
honest_1.690_w1.050,1.05,1.690,קשת 12,2024-11-01,3253660.3,367266.5,2886393.8,80,0
honest_1.690_w1.050,1.05,1.690,קשת 12,2024-11-02,3584113.74,417934.26,3166179.47,80,0
honest_1.690_w1.050,1.05,1.690,קשת 12,2024-11-03,3424475.44,400344.56,3024130.88,80,0
honest_1.690_w1.050,1.05,1.690,רשת 13,2024-11-01,999472.55,124578.85,874893.69,80,0
honest_1.690_w1.050,1.05,1.690,רשת 13,2024-11-02,1333366.26,185027.34,1148338.92,79,0
honest_1.690_w1.050,1.05,1.690,רשת 13,2024-11-03,1443802.11,185341.89,1258460.23,80,0
honest_1.690_w1.100,1.1,1.947,כאן 11,2024-11-01,784782.35,113349.25,671433.1,74,0
honest_1.690_w1.100,1.1,1.947,כאן 11,2024-11-02,1444369.02,259093.38,1185275.63,80,0
honest_1.690_w1.100,1.1,1.947,כאן 11,2024-11-03,710122.14,119605.86,590516.29,80,0
honest_1.690_w1.100,1.1,1.947,עכשיו 14,2024-11-01,457793.65,67986.35,389807.3,40,0
