arm,w,eval_world,gross_ils,cost_ils,net_ils,delta_vs_baseline,breaks,violations,identical,decisions
baseline_1.947_w1.00,1.0,1.947,19583146.37,2856692.23,16726454.14,0.0,858,0,862,862
baseline_1.947_w1.00,1.0,1.690,19870867.68,2568970.92,17301896.77,0.0,858,0,862,862
baseline_1.947_w1.00,1.0,1.000,20643349.03,1796489.57,18846859.45,0.0,858,0,862,862
honest_1.690_w1.00,1.0,1.947,19602011.69,2863170.91,16738840.77,12386.63,858,0,858,862
honest_1.690_w1.00,1.0,1.690,19890050.6,2575132.0,17314918.6,13021.83,858,0,858,862
honest_1.690_w1.00,1.0,1.000,20663384.65,1801797.95,18861586.7,14727.25,858,0,858,862
honest_1.690_w1.05,1.05,1.947,19583146.37,2856692.23,16726454.14,0.0,858,0,862,862
honest_1.690_w1.05,1.05,1.690,19870867.68,2568970.92,17301896.77,0.0,858,0,862,862
honest_1.690_w1.05,1.05,1.000,20643349.03,1796489.57,18846859.45,0.0,858,0,862,862
honest_1.690_w1.152,1.152,1.947,19550151.9,2844722.7,16705429.2,-21024.95,858,0,852,862
honest_1.690_w1.152,1.152,1.690,19837255.32,2557619.28,17279636.05,-22260.72,858,0,852,862
honest_1.690_w1.152,1.152,1.000,20608077.75,1786796.85,18821280.9,-25578.55,858,0,852,862
honest_1.690_w2.25,2.25,1.947,19331460.16,2722975.04,16608485.12,-117969.02,853,0,780,862
honest_1.690_w2.25,2.25,1.690,19614064.75,2440370.45,17173694.3,-128202.46,853,0,780,862
honest_1.690_w2.25,2.25,1.000,20372808.59,1681626.61,18691181.99,-155677.46,853,0,780,862
