break_id,channel,channel_name,len_min,dur_touched_min,len_bin,ordinal,prog_key,cluster,hour,daypart,gap_prev_min,gap_next_min,norm_s,norm_c,norm_g,norm_raw,start_minute_in_qh
4,כאן 11,Other_last_standard,1.8,2,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 7)","('כאן 11', '2024-11-01', 7)",2,overnight,48,31,1.230327163151098,1.2202181456067465,1.243756967670011,0.8333333333333334,3
5,כאן 11,Other_middle_short,1.3833333333333333,2,lt1.5,1.0,"('כאן 11', '2024-11-01', 9)","('כאן 11', '2024-11-01', 9)",3,overnight,31,33,1.9531493152816681,1.9076723287101969,1.9531493152816681,1.2333333333333334,5
6,כאן 11,Other_last_standard,2.316666666666667,4,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 11)","('כאן 11', '2024-11-01', 11)",3,overnight,33,6,1.5468302120499626,1.5624745624745622,1.53197578543083,0.5,9
7,כאן 11,Other_first_short,1.3833333333333333,3,lt1.5,1.0,"('כאן 11', '2024-11-01', 13)","('כאן 11', '2024-11-01', 13)",3,overnight,6,27,1.5327881994548662,1.5360623781676412,1.5327881994548662,0.4000000000000001,3
11,כאן 11,PrimeShow2_middle_standard,2.0166666666666666,3,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 30)","('כאן 11', '2024-11-01', 30)",12,afternoon,363,12,1.4615384615384617,1.3678476935842598,1.4563044194538068,1.2666666666666666,9
12,כאן 11,PrimeShow2_last_standard,2.4833333333333334,4,1.5-2.5,2.0,"('כאן 11', '2024-11-01', 30)","('כאן 11', '2024-11-01', 30)",12,afternoon,12,46,1.3653635700389104,1.3693748315010634,1.3693748315010634,1.1666666666666667,8
13,כאן 11,Other_last_standard,2.0166666666666666,3,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 35)","('כאן 11', '2024-11-01', 35)",13,afternoon,46,46,1.2162326683561187,1.2005628679166909,1.233150999218568,0.9,12
14,כאן 11,PrimeShow2_middle_short,0.65,1,lt1.5,1.0,"('כאן 11', '2024-11-01', 43)","('כאן 11', '2024-11-01', 43)",14,afternoon,46,30,2.2476105137395463,2.300460315886806,2.272105300779136,1.8333333333333333,0
15,כאן 11,Other_last_short,1.3333333333333333,3,lt1.5,1.0,"('כאן 11', '2024-11-01', 45)","('כאן 11', '2024-11-01', 45)",14,afternoon,30,20,1.1214112763749569,1.1467586099423406,1.1252877539092785,1.0999999999999999,0
16,כאן 11,Other_first_standard,1.85,3,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 47)","('כאן 11', '2024-11-01', 47)",15,afternoon,20,33,1.3756480637202777,1.4287204646703884,1.3506078148315568,1.3666666666666665,7
17,כאן 11,Other_last_standard,1.6833333333333333,3,1.5-2.5,2.0,"('כאן 11', '2024-11-01', 47)","('כאן 11', '2024-11-01', 47)",15,afternoon,33,6,1.4533691037214433,1.4115292065523206,1.4289685714329756,2.033333333333333,12
18,כאן 11,Other_middle_standard,2.5,3,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 51)","('כאן 11', '2024-11-01', 51)",16,afternoon,21,40,1.938202247191011,1.7449520118124768,1.9038369591202484,2.3,11
19,כאן 11,Other_last_short,1.15,2,lt1.5,1.0,"('כאן 11', '2024-11-01', 53)","('כאן 11', '2024-11-01', 53)",16,afternoon,40,25,1.8309051253246482,1.872976815398075,1.8271730028872633,2.333333333333333,8
20,כאן 11,Other_first_standard,2.6333333333333333,4,2.5-3.5,1.0,"('כאן 11', '2024-11-01', 55)","('כאן 11', '2024-11-01', 55)",17,early_evening,25,21,1.0249512515873007,0.9814304992504965,1.027123986388881,1.4666666666666668,4
21,כאן 11,Other_last_standard,2.283333333333333,3,1.5-2.5,2.0,"('כאן 11', '2024-11-01', 55)","('כאן 11', '2024-11-01', 55)",17,early_evening,21,55,1.08137276669712,1.0421645740188639,1.0621516487800469,2.1,13
22,כאן 11,Other_middle_standard,2.25,4,1.5-2.5,1.0,"('כאן 11', '2024-11-01', 58)","('כאן 11', '2024-11-01', 58)",18,early_evening,55,9,0.8301636626010224,0.776374707980333,0.8301636626010224,2.066666666666667,10
23,כאן 11,Other_middle_standard,2.1666666666666665,3,1.5-2.5,2.0,"('כאן 11', '2024-11-01', 58)","('כאן 11', '2024-11-01', 58)",18,early_evening,9,21,0.7432667172465056,0.7435885204366262,0.7518690945774485,2.033333333333333,7
24,כאן 11,Other_last_standard,1.7833333333333334,3,1.5-2.5,3.0,"('כאן 11', '2024-11-01', 58)","('כאן 11', '2024-11-01', 58)",19,early_evening,21,162,0.6891730552222977,0.6891730552222977,0.6891730552222977,2.433333333333333,0
