len_bin,offset,mean_rel,n,n_clusters,mean_rel_c,mean_rel_g,mean_rel_raw,trusted,ci_lo,ci_hi
ALL,0,0.9891616617181995,3741,2501,1.0273531965894482,0.9911316357343645,0.9857486644154273,True,0.9841555594443206,0.9941552556807541
ALL,1,0.9519959915645897,3478,2396,1.0276394501819115,0.9564786277717515,0.9461458120734241,True,0.9447187045884505,0.9585268755859263
ALL,2,0.9314100176377677,2619,1886,0.9810898855587602,0.9372164756073422,0.9222639527845665,True,0.923154600873838,0.9395733310538413
ALL,3,0.9185042609209775,1713,1267,0.9556416812839017,0.9250389812658463,0.9036189468348509,True,0.9088119063560179,0.9284356122413389
ALL,4,0.9033214990551871,1339,951,0.9410410243817027,0.911517668021382,0.8837001389763024,True,0.8926996203978418,0.9141896377054117
ALL,5,0.8887278320199266,1095,760,0.9317440216338758,0.8989324795842916,0.8672816808929997,True,0.8769655458772201,0.899965287859211
ALL,6,0.881108100347435,814,572,0.9285523216950127,0.8930162115213313,0.8556985107000682,True,0.8678481391566695,0.8944143879443672
ALL,7,0.8659757115446729,543,406,0.9185076828361685,0.8784480387690398,0.8382779212694762,True,0.8494675117359168,0.884268069074352
ALL,8,0.8406886078427516,339,273,0.8719920721156758,0.852718004818182,0.8131040782166464,True,0.8193070184862143,0.8615367552089089
ALL,9,0.8086534679933904,192,165,0.8170525042165734,0.8200011497297307,0.777912560222681,True,0.7816584688030429,0.8356064859191212
ALL,10,0.7752590035340303,90,79,0.7731456060801272,0.7854400154614448,0.74112041326029,True,0.7355954712594872,0.8173054019096868
ALL,11,0.75386341814605,35,32,0.7464756975825467,0.7607941879425986,0.7028309855939713,False,0.6772678989458382,0.8192586184070686
ALL,12,0.6571958563054978,8,8,0.6676198824437309,0.6501076584425354,0.6256818137293855,False,0.5206526140196457,0.797646822191436
ALL,13,0.92565595380015,1,1,1.0506267951974368,0.8863003774719721,0.9953917050691244,False,0.92565595380015,0.92565595380015
1.5-2.5,0,0.9979022020330802,937,769,1.0333594094680474,1.0005127766777049,0.9976171877566518,True,0.9856211542845179,1.0108913571146783
1.5-2.5,1,0.9543139677687222,936,768,1.049800570063483,0.9606538803819542,0.9526721711660665,True,0.9378430471034509,0.9692444028122333
1.5-2.5,2,0.9475286046927366,802,657,1.011874236241882,0.9551885470189703,0.9460329567189085,True,0.9306350275026776,0.9645751811216642
1.5-2.5,3,0.976309442567055,98,95,1.0494203945856955,0.9830269603127598,0.9748120770466278,True,0.9015737708205817,1.0642473113411137
2.5-3.5,0,0.9922541141130854,340,310,1.05960589575971,0.994485876849572,0.9884022309629922,True,0.9755113956870519,1.0086670108809512
2.5-3.5,1,0.9756354391631571,340,310,1.0990842138945982,0.9789050362660975,0.9720070378392461,True,0.9469803988324712,1.0079927827003476
