cap,fill,L,offset,billed_per_break_minute,mean_affected_windows,n_affected_windows,end_offset_in_window
capped,recovered,2,0,0.9952054528003516,0.9952054528003516,1,1
capped,recovered,2,1,0.9952054528003516,0.9952054528003516,1,2
capped,recovered,2,2,0.9952054528003516,0.9952054528003516,1,3
capped,recovered,2,3,0.9952054528003516,0.9952054528003516,1,4
capped,recovered,2,4,0.9952054528003516,0.9952054528003516,1,5
capped,recovered,2,5,0.9952054528003516,0.9952054528003516,1,6
capped,recovered,2,6,0.9952054528003517,0.9952054528003517,1,7
capped,recovered,2,7,0.9952054528003517,0.9952054528003517,1,8
capped,recovered,2,8,0.9952054528003516,0.9952054528003516,1,9
capped,recovered,2,9,0.9952054528003516,0.9952054528003516,1,10
capped,recovered,2,10,0.9952054528003516,0.9952054528003516,1,11
capped,recovered,2,11,0.9952054528003516,0.9952054528003516,1,12
capped,recovered,2,12,0.9959158098200184,0.9959158098200184,1,13
capped,recovered,2,13,0.9969253601323892,0.9969253601323892,1,14
capped,recovered,2,14,0.9976027264001758,0.9976027264001758,2,0
capped,recovered,3,0,0.9913962003942465,0.9913962003942465,1,2
capped,recovered,3,1,0.9913962003942465,0.9913962003942465,1,3
capped,recovered,3,2,0.9913962003942465,0.9913962003942465,1,4
capped,recovered,3,3,0.9913962003942465,0.9913962003942465,1,5
capped,recovered,3,4,0.9913962003942465,0.9913962003942465,1,6
capped,recovered,3,5,0.9913962003942466,0.9913962003942466,1,7
capped,recovered,3,6,0.9913962003942466,0.9913962003942466,1,8
capped,recovered,3,7,0.9913962003942466,0.9913962003942466,1,9
capped,recovered,3,8,0.9913962003942466,0.9913962003942466,1,10
capped,recovered,3,9,0.9913962003942466,0.9913962003942466,1,11
capped,recovered,3,10,0.9913962003942466,0.9913962003942466,1,12
capped,recovered,3,11,0.9919810877341444,0.9919810877341444,1,13
capped,recovered,3,12,0.9940307255375583,0.9940307255375583,1,14
capped,recovered,3,13,0.996163654856583,0.9956981001971232,2,0
capped,recovered,3,14,0.9942880944601821,0.9956981001971232,2,1
capped,recovered,4,0,0.9931887769206847,0.9931887769206847,1,3
capped,recovered,4,1,0.9931887769206847,0.9931887769206847,1,4
capped,recovered,4,2,0.9931887769206847,0.9931887769206847,1,5
capped,recovered,4,3,0.9931887769206847,0.9931887769206847,1,6
capped,recovered,4,4,0.9931887769206847,0.9931887769206847,1,7
capped,recovered,4,5,0.9931887769206847,0.9931887769206847,1,8
capped,recovered,4,6,0.9931887769206846,0.9931887769206846,1,9
capped,recovered,4,7,0.9931887769206847,0.9931887769206847,1,10
capped,recovered,4,8,0.9931887769206847,0.9931887769206847,1,11
capped,recovered,4,9,0.9931887769206847,0.9931887769206847,1,12
capped,recovered,4,10,0.9931887769206847,0.9931887769206847,1,13
capped,recovered,4,11,0.9931887769206847,0.9931887769206847,1,14
capped,recovered,4,12,0.9956146408077323,0.9965943884603424,2,0
capped,recovered,4,13,0.9965943884603423,0.9965943884603424,2,1
capped,recovered,4,14,0.9949731223001946,0.9965943884603423,2,2
capped,recovered,5,0,0.9823574034370685,0.9823574034370685,1,4
capped,recovered,5,1,0.9823574034370685,0.9823574034370685,1,5
capped,recovered,5,2,0.9823574034370685,0.9823574034370685,1,6
capped,recovered,5,3,0.9823574034370685,0.9823574034370685,1,7
capped,recovered,5,4,0.9823574034370685,0.9823574034370685,1,8
capped,recovered,5,5,0.9831035278296925,0.9831035278296926,1,9
capped,recovered,5,6,0.9834217481080947,0.9834217481080946,1,10
capped,recovered,5,7,0.9834217481080947,0.9834217481080946,1,11
capped,recovered,5,8,0.9838015523534235,0.9838015523534235,1,12
capped,recovered,5,9,0.9855613769872031,0.9855613769872031,1,13
capped,recovered,5,10,0.9878303456948798,0.9878303456948797,1,14
capped,recovered,5,11,0.9905167228799007,0.9911787017185343,2,0
capped,recovered,5,12,0.9916973541879317,0.9911787017185343,2,1
capped,recovered,5,13,0.9899512571241885,0.9911787017185343,2,2
capped,recovered,5,14,0.9860551098429194,0.9911787017185342,2,3
capped,recovered,6,0,0.969959622729137,0.969959622729137,1,5
capped,recovered,6,1,0.9699596227291369,0.9699596227291369,1,6
capped,recovered,6,2,0.9699596227291369,0.9699596227291369,1,7
capped,recovered,6,3,0.9699596227291369,0.9699596227291369,1,8
capped,recovered,6,4,0.9699596227291369,0.9699596227291369,1,9
capped,recovered,6,5,0.9699596227291369,0.9699596227291369,1,10
capped,recovered,6,6,0.9699596227291369,0.9699596227291369,1,11
capped,recovered,6,7,0.9710721228839692,0.9710721228839692,1,12
capped,recovered,6,8,0.972887860738049,0.972887860738049,1,13
capped,recovered,6,9,0.9763517170459951,0.9763517170459951,1,14
capped,recovered,6,10,0.9823039126454073,0.9849798113645685,2,0
capped,recovered,6,11,0.9853619766579866,0.9849798113645685,2,1
capped,recovered,6,12,0.9849798113645685,0.9849798113645685,2,2
capped,recovered,6,13,0.9813942639561741,0.9849798113645685,2,3
capped,recovered,6,14,0.975513416952808,0.9849798113645685,2,4
capped,recovered,7,0,0.9589425712580353,0.9589425712580354,1,6
capped,recovered,7,1,0.9589425712580353,0.9589425712580354,1,7
capped,recovered,7,2,0.9589425712580353,0.9589425712580354,1,8
capped,recovered,7,3,0.9589425712580353,0.9589425712580354,1,9
capped,recovered,7,4,0.9599087194477686,0.9599087194477687,1,10
capped,recovered,7,5,0.9609522635803228,0.9609522635803228,1,11
capped,recovered,7,6,0.9621565592759679,0.9621565592759679,1,12
capped,recovered,7,7,0.9644754695306396,0.9644754695306396,1,13
capped,recovered,7,8,0.9679713662193379,0.9679713662193379,1,14
capped,recovered,7,9,0.9748529699041294,0.9794712856290178,2,0
capped,recovered,7,10,0.9793808110379033,0.9794712856290178,2,1
capped,recovered,7,11,0.9803172466588137,0.9794712856290178,2,2
capped,recovered,7,12,0.9778184715446893,0.9794712856290178,2,3
capped,recovered,7,13,0.9724103882082419,0.9794712856290178,2,4
capped,recovered,7,14,0.9653216897424526,0.9794712856290178,2,5
capped,persistent,2,0,0.9952054528003516,0.9952054528003516,1,1
capped,persistent,2,1,0.9952054528003516,0.9952054528003516,1,2
capped,persistent,2,2,0.9952054528003516,0.9952054528003516,1,3
capped,persistent,2,3,0.9952054528003516,0.9952054528003516,1,4
capped,persistent,2,4,0.9952054528003516,0.9952054528003516,1,5
capped,persistent,2,5,0.9952054528003516,0.9952054528003516,1,6
capped,persistent,2,6,0.9952054528003517,0.9952054528003517,1,7
capped,persistent,2,7,0.9952054528003517,0.9952054528003517,1,8
capped,persistent,2,8,0.9952054528003516,0.9952054528003516,1,9
capped,persistent,2,9,0.9952054528003516,0.9952054528003516,1,10
capped,persistent,2,10,0.9952054528003516,0.9952054528003516,1,11
capped,persistent,2,11,0.9952054528003516,0.9952054528003516,1,12
capped,persistent,2,12,0.9959158098200184,0.9959158098200184,1,13
capped,persistent,2,13,0.9969253601323892,0.9969253601323892,1,14
capped,persistent,2,14,0.9976027264001758,0.9976027264001758,2,0
capped,persistent,3,0,0.9913962003942465,0.9913962003942465,1,2
capped,persistent,3,1,0.9913962003942465,0.9913962003942465,1,3
capped,persistent,3,2,0.9913962003942465,0.9913962003942465,1,4
capped,persistent,3,3,0.9913962003942465,0.9913962003942465,1,5
capped,persistent,3,4,0.9913962003942465,0.9913962003942465,1,6
capped,persistent,3,5,0.9913962003942466,0.9913962003942466,1,7
capped,persistent,3,6,0.9913962003942466,0.9913962003942466,1,8
capped,persistent,3,7,0.9913962003942466,0.9913962003942466,1,9
capped,persistent,3,8,0.9913962003942466,0.9913962003942466,1,10
capped,persistent,3,9,0.9913962003942466,0.9913962003942466,1,11
capped,persistent,3,10,0.9913962003942466,0.9913962003942466,1,12
capped,persistent,3,11,0.9919810877341444,0.9919810877341444,1,13
capped,persistent,3,12,0.9940307255375583,0.9940307255375583,1,14
capped,persistent,3,13,0.996163654856583,0.9956981001971232,2,0
capped,persistent,3,14,0.9942880944601821,0.9956981001971232,2,1
capped,persistent,4,0,0.9931887769206847,0.9931887769206847,1,3
capped,persistent,4,1,0.9931887769206847,0.9931887769206847,1,4
capped,persistent,4,2,0.9931887769206847,0.9931887769206847,1,5
capped,persistent,4,3,0.9931887769206847,0.9931887769206847,1,6
capped,persistent,4,4,0.9931887769206847,0.9931887769206847,1,7
capped,persistent,4,5,0.9931887769206847,0.9931887769206847,1,8
capped,persistent,4,6,0.9931887769206846,0.9931887769206846,1,9
capped,persistent,4,7,0.9931887769206847,0.9931887769206847,1,10
capped,persistent,4,8,0.9931887769206847,0.9931887769206847,1,11
