channel,daypart,len_bin,len_min,straddle_qh,n_qh_windows,B_content,inbreak_tvr,billed_qh,dilution,dip_frac,n_content_minutes
כאן 11,overnight,1-2m,1.8,0,1,0.9733333333333332,0.8,0.9333333333333333,0.9589041095890413,0.17808219178082174,30
כאן 11,overnight,1-2m,1.3833333333333333,0,1,0.93,1.0,0.9466666666666667,1.0179211469534049,-0.07526881720430101,30
כאן 11,overnight,2-3m,2.316666666666667,0,1,0.48148148148148145,0.44999999999999996,0.47333333333333344,0.9830769230769234,0.06538461538461537,27
כאן 11,overnight,1-2m,1.3833333333333333,0,1,0.4807692307692308,0.5333333333333333,0.48666666666666664,1.0122666666666666,-0.10933333333333328,26
כאן 11,overnight,1-2m,1.7,0,1,0.2,0.0,0.0,0.0,1.0,30
כאן 11,overnight,2-3m,2.1666666666666665,0,1,0.006666666666666667,0.0,0.0,0.0,1.0,30
כאן 11,overnight,1-2m,1.7,0,1,0.043333333333333335,0.0,0.013333333333333334,0.3076923076923077,1.0,30
כאן 11,afternoon,2-3m,2.0166666666666666,0,1,1.1653846153846155,1.1666666666666667,1.2400000000000004,1.0640264026402644,-0.0011001100110010764,26
כאן 11,afternoon,2-3m,2.4833333333333334,0,1,1.2,1.2,1.1866666666666663,0.9888888888888886,0.0,27
כאן 11,afternoon,2-3m,2.0166666666666666,0,1,1.0266666666666668,0.9,1.0000000000000002,0.9740259740259741,0.12337662337662347,30
כאן 11,afternoon,<1m,0.65,0,1,1.4766666666666666,1.9,1.406666666666667,0.9525959367945827,-0.2866817155756207,30
כאן 11,afternoon,1-2m,1.3333333333333333,0,1,1.1666666666666667,1.0666666666666667,1.1800000000000002,1.0114285714285716,0.08571428571428574,30
כאן 11,afternoon,1-2m,1.85,0,1,1.2966666666666664,1.5333333333333332,1.36,1.0488431876606688,-0.18251928020565567,30
כאן 11,afternoon,1-2m,1.6833333333333331,0,1,1.8896551724137927,1.8333333333333333,1.7133333333333336,0.9066909975669103,0.029805352798053297,29
כאן 11,afternoon,2-3m,2.5,0,1,2.48,2.0,2.3,0.9274193548387096,0.19354838709677413,30
כאן 11,afternoon,1-2m,1.15,0,1,2.0,2.25,2.0733333333333333,1.0366666666666666,-0.125,30
כאן 11,early_evening,2-3m,2.6333333333333333,0,1,1.7466666666666666,1.5,1.566666666666667,0.8969465648854965,0.14122137404580148,30
כאן 11,early_evening,2-3m,2.283333333333333,1,2,1.9766666666666668,1.8666666666666665,1.891111111111111,0.9567172568858908,0.05564924114671177,30
כאן 11,early_evening,2-3m,2.25,0,1,2.2666666666666666,1.85,2.0933333333333333,0.9235294117647059,0.1838235294117646,27
כאן 11,early_evening,2-3m,2.1666666666666665,0,1,2.4153846153846157,2.3666666666666667,2.293333333333334,0.9494692144373674,0.02016985138004257,26
כאן 11,early_evening,1-2m,1.7833333333333334,0,1,2.156666666666667,2.0666666666666664,1.7733333333333328,0.8222565687789795,0.04173106646058766,30
כאן 11,late_evening,<1m,0.4166666666666667,0,1,4.234482758620689,4.9,3.893333333333333,0.9194353963083606,-0.15716612377850203,29
כאן 11,late_evening,<1m,0.8,0,1,4.220689655172413,4.0,4.593333333333334,1.0882897603485842,0.05228758169934633,29
כאן 11,late_evening,2-3m,2.933333333333333,0,1,4.596666666666667,5.6499999999999995,5.0600000000000005,1.1007976794778827,-0.22915155910079754,30
כאן 11,late_evening,2-3m,2.6666666666666665,0,1,4.5,4.875,4.5600000000000005,1.0133333333333334,-0.08333333333333326,30
כאן 11,late_evening,2-3m,2.3333333333333335,0,1,4.533333333333333,4.566666666666667,4.5,0.9926470588235294,-0.007352941176470784,30
כאן 11,late_evening,2-3m,2.533333333333333,0,1,3.9099999999999993,3.175,3.4266666666666667,0.8763853367433933,0.18797953964194358,30
כאן 11,overnight,2-3m,2.466666666666667,1,2,2.23,2.2750000000000004,2.2316666666666665,1.0007473841554557,-0.020179372197309586,30
כאן 11,overnight,1-2m,1.0166666666666666,0,1,1.7100000000000002,1.7,1.7533333333333332,1.0253411306042883,0.005847953216374435,30
כאן 11,overnight,2-3m,2.1166666666666667,0,1,1.3633333333333335,1.3666666666666665,1.1999999999999997,0.8801955990220046,-0.0024449877750607474,30
כאן 11,overnight,1-2m,1.1666666666666667,0,1,0.882758620689655,0.7,0.7199999999999999,0.8156249999999999,0.2070312499999999,29
כאן 11,overnight,<1m,0.9,0,1,0.3533333333333334,0.4,0.40000000000000013,1.1320754716981134,-0.13207547169811318,30
כאן 11,overnight,<1m,0.9666666666666668,0,1,0.40333333333333343,0.4,0.40666666666666684,1.0082644628099175,0.00826446280991755,30
כאן 11,overnight,<1m,0.9666666666666668,0,1,0.41666666666666674,0.4,0.40000000000000013,0.9600000000000002,0.04000000000000015,30
כאן 11,overnight,1-2m,1.0166666666666666,0,1,0.4071428571428572,0.5,0.45999999999999996,1.1298245614035085,-0.2280701754385963,28
כאן 11,overnight,1-2m,1.1666666666666667,0,1,0.26785714285714285,0.1,0.23333333333333334,0.8711111111111112,0.6266666666666667,28
כאן 11,overnight,1-2m,1.0166666666666666,0,1,0.3733333333333333,0.6,0.5399999999999998,1.4464285714285712,-0.6071428571428572,30
כאן 11,morning,1-2m,1.7166666666666666,0,1,0.7214285714285714,0.7999999999999999,0.7066666666666666,0.9795379537953794,-0.10891089108910879,28
כאן 11,morning,1-2m,1.1666666666666667,0,1,0.6925925925925925,0.6,0.7066666666666666,1.0203208556149732,0.1336898395721925,27
כאן 11,morning,1-2m,1.0333333333333334,0,1,1.0166666666666664,0.95,0.9333333333333335,0.9180327868852463,0.06557377049180302,30
כאן 11,morning,2-3m,2.2,0,1,1.5500000000000003,1.525,1.5733333333333335,1.01505376344086,0.016129032258064724,28
כאן 11,morning,<1m,0.8833333333333333,0,1,1.452,1.3,1.4266666666666667,0.982552800734619,0.10468319559228645,25
כאן 11,morning,1-2m,1.5666666666666669,0,1,1.467857142857143,1.3,1.4266666666666667,0.9719383617193836,0.1143552311435524,28
כאן 11,afternoon,2-3m,2.2,1,2,2.1066666666666665,1.8,2.1088888888888886,1.001054852320675,0.14556962025316444,30
כאן 11,afternoon,2-3m,2.3,0,1,2.43,2.533333333333333,2.613333333333334,1.0754458161865572,-0.04252400548696844,30
כאן 11,afternoon,1-2m,1.7166666666666666,0,1,1.8966666666666667,1.5,1.8133333333333332,0.9560632688927942,0.20913884007029881,30
כאן 11,afternoon,2-3m,2.1666666666666665,0,1,1.3633333333333335,1.3,1.3533333333333333,0.9926650366748164,0.04645476772616142,30
כאן 11,afternoon,1-2m,1.8833333333333333,0,1,2.124137931034483,1.6333333333333335,1.886666666666667,0.8882034632034632,0.23106060606060608,29
כאן 11,afternoon,2-3m,2.316666666666667,0,1,1.8827586206896552,1.6666666666666667,1.9733333333333334,1.0481074481074482,0.1147741147741147,29
כאן 11,afternoon,1-2m,1.9,0,1,2.196296296296296,2.1,2.1066666666666665,0.9591905564924115,0.04384485666104543,27
כאן 11,afternoon,1-2m,1.3833333333333333,0,1,2.137037037037037,1.5999999999999999,1.8800000000000001,0.8797227036395149,0.2512998266897747,27
כאן 11,afternoon,2-3m,2.45,0,1,2.3299999999999996,2.1,2.5666666666666673,1.1015736766809732,0.0987124463519311,30
כאן 11,early_evening,2-3m,2.066666666666667,1,2,2.6533333333333338,2.4333333333333336,2.395555555555555,0.9028475711892795,0.08291457286432169,30
כאן 11,early_evening,2-3m,2.433333333333333,0,1,6.296666666666667,5.766666666666666,6.179999999999999,0.98147167813658,0.08417151932239297,30
כאן 11,late_evening,<1m,0.8833333333333333,0,1,7.758620689655173,7.2,7.079999999999999,0.9125333333333332,0.07199999999999995,29
כאן 11,late_evening,<1m,0.7833333333333333,0,1,7.868965517241378,6.5,7.079999999999999,0.8997370727432078,0.17397020157756338,29
כאן 11,late_evening,2-3m,2.9833333333333334,1,2,8.975862068965515,7.625,8.796666666666667,0.9800358560635167,0.1504994237418361,29
כאן 11,late_evening,2-3m,2.8833333333333333,0,1,7.379310344827586,6.75,6.92,0.9377570093457944,0.08528037383177567,29
כאן 11,late_evening,3-4m,3.0166666666666666,0,1,3.446666666666666,3.0,3.2133333333333325,0.932301740812379,0.12959381044487406,30
כאן 11,late_evening,2-3m,2.3333333333333335,0,1,2.763333333333333,2.733333333333333,2.8266666666666667,1.02291917973462,0.010856453558504287,30
כאן 11,late_evening,<1m,0.6,0,1,1.9900000000000004,1.7000000000000002,2.186666666666667,1.0988274706867671,0.14572864321608048,30
כאן 11,overnight,2-3m,2.466666666666667,0,1,1.5233333333333337,1.525,1.326666666666667,0.8708971553610504,-0.001094091903719674,30
כאן 11,overnight,1-2m,1.7333333333333334,0,1,0.575,0.5,0.5266666666666666,0.9159420289855073,0.13043478260869557,28
כאן 11,overnight,1-2m,1.1666666666666667,1,2,0.5444444444444444,0.6,0.5433333333333333,0.9979591836734695,-0.10204081632653073,27
כאן 11,overnight,1-2m,1.4666666666666666,0,1,0.40333333333333327,0.25,0.2733333333333334,0.6776859504132233,0.3801652892561982,30
כאן 11,overnight,2-3m,2.75,0,1,0.20333333333333334,0.2,0.1866666666666667,0.918032786885246,0.016393442622950838,30
כאן 11,overnight,1-2m,1.65,0,1,0.6206896551724137,0.44999999999999996,0.6399999999999999,1.031111111111111,0.2749999999999999,29
כאן 11,overnight,2-3m,2.25,0,1,0.496551724137931,0.3,0.39333333333333337,0.7921296296296297,0.39583333333333337,29
כאן 11,overnight,2-3m,2.933333333333333,0,1,0.2733333333333333,0.27499999999999997,0.3066666666666666,1.121951219512195,-0.0060975609756097615,30
כאן 11,overnight,1-2m,1.3,0,1,0.4066666666666667,0.5,0.36666666666666664,0.901639344262295,-0.2295081967213115,30
כאן 11,overnight,1-2m,1.1833333333333331,0,1,0.40333333333333327,0.5,0.4933333333333334,1.223140495867769,-0.23966942148760362,30
כאן 11,overnight,1-2m,1.0166666666666666,1,2,0.1166666666666667,0.1,0.10666666666666669,0.9142857142857143,0.14285714285714302,30
כאן 11,morning,2-3m,2.066666666666667,0,1,0.3433333333333335,0.43333333333333335,0.4333333333333333,1.2621359223300963,-0.2621359223300965,30
כאן 11,morning,2-3m,2.1166666666666667,0,1,0.2433333333333333,0.1,0.12666666666666668,0.5205479452054795,0.5890410958904109,30
כאן 11,morning,<1m,0.9333333333333332,0,1,0.49333333333333335,0.3,0.4333333333333333,0.8783783783783783,0.3918918918918919,30
כאן 11,morning,<1m,0.4333333333333333,0,1,1.1066666666666667,1.3,1.2800000000000002,1.1566265060240966,-0.17469879518072284,30
כאן 11,morning,<1m,0.9333333333333332,0,1,0.8433333333333334,0.9,0.8800000000000003,1.0434782608695656,-0.06719367588932812,30
כאן 11,morning,1-2m,1.4,0,1,0.5800000000000001,0.6,0.5800000000000002,1.0000000000000002,-0.0344827586206895,30
כאן 11,morning,<1m,1.0,0,1,1.0310344827586206,1.0,1.0866666666666664,1.0539576365663321,0.030100334448160515,29
כאן 11,morning,<1m,0.7833333333333333,0,1,1.0413793103448277,1.05,1.0866666666666664,1.0434878587196466,-0.008278145695364225,29
כאן 11,afternoon,1-2m,1.65,0,1,0.8666666666666666,0.6999999999999998,0.7933333333333334,0.9153846153846156,0.1923076923076924,30
כאן 11,afternoon,2-3m,2.7,1,2,0.8933333333333333,0.875,0.8766666666666668,0.9813432835820898,0.020522388059701524,30
כאן 11,afternoon,2-3m,2.2,0,1,0.5259259259259259,0.575,0.5333333333333333,1.0140845070422535,-0.09330985915492951,27
כאן 11,afternoon,2-3m,2.466666666666667,0,1,0.5555555555555556,0.5666666666666667,0.5466666666666666,0.9839999999999999,-0.020000000000000018,27
כאן 11,afternoon,2-3m,2.566666666666667,0,1,0.6899999999999998,0.4000000000000001,0.6133333333333335,0.8888888888888894,0.4202898550724635,30
כאן 11,afternoon,2-3m,2.0833333333333335,0,1,0.5433333333333333,0.5,0.5199999999999999,0.9570552147239262,0.07975460122699385,30
כאן 11,afternoon,1-2m,1.6,1,2,0.5482758620689654,0.35,0.5233333333333333,0.9545073375262056,0.3616352201257861,29
כאן 11,afternoon,2-3m,2.4166666666666665,0,1,0.9074074074074076,1.0,0.9600000000000001,1.0579591836734692,-0.1020408163265305,27
