source_row_id,channel,Date_dt,Start_dt,hour_of_day
580,רשת 13,2024-11-01,2024-11-01 02:57:17,2
581,רשת 13,2024-11-01,2024-11-01 02:57:47,2
582,רשת 13,2024-11-01,2024-11-01 02:58:52,2
583,רשת 13,2024-11-01,2024-11-01 02:59:40,2
584,רשת 13,2024-11-01,2024-11-01 05:22:53,5
585,רשת 13,2024-11-01,2024-11-01 05:23:13,5
586,רשת 13,2024-11-01,2024-11-01 05:24:03,5
587,רשת 13,2024-11-01,2024-11-01 05:24:37,5
588,רשת 13,2024-11-01,2024-11-01 05:40:38,5
589,רשת 13,2024-11-01,2024-11-01 05:41:48,5
590,רשת 13,2024-11-01,2024-11-01 05:42:08,5
591,רשת 13,2024-11-01,2024-11-01 05:42:48,5
592,רשת 13,2024-11-01,2024-11-01 06:14:23,6
593,רשת 13,2024-11-01,2024-11-01 06:14:30,6
594,רשת 13,2024-11-01,2024-11-01 06:14:41,6
595,רשת 13,2024-11-01,2024-11-01 06:15:18,6
596,רשת 13,2024-11-01,2024-11-01 06:15:29,6
597,רשת 13,2024-11-01,2024-11-01 06:15:36,6
598,רשת 13,2024-11-01,2024-11-01 07:27:51,7
599,רשת 13,2024-11-01,2024-11-01 07:28:27,7
600,רשת 13,2024-11-01,2024-11-01 07:28:34,7
601,רשת 13,2024-11-01,2024-11-01 07:28:40,7
602,רשת 13,2024-11-01,2024-11-01 07:29:01,7
603,רשת 13,2024-11-01,2024-11-01 07:29:15,7
604,רשת 13,2024-11-01,2024-11-01 07:30:37,7
605,רשת 13,2024-11-01,2024-11-01 07:31:13,7
606,רשת 13,2024-11-01,2024-11-01 07:31:50,7
607,רשת 13,2024-11-01,2024-11-01 07:32:10,7
608,רשת 13,2024-11-01,2024-11-01 07:32:36,7
609,רשת 13,2024-11-01,2024-11-01 07:33:14,7
610,רשת 13,2024-11-01,2024-11-01 07:33:38,7
611,רשת 13,2024-11-01,2024-11-01 07:33:53,7
612,רשת 13,2024-11-01,2024-11-01 07:35:14,7
613,רשת 13,2024-11-01,2024-11-01 07:35:38,7
614,רשת 13,2024-11-01,2024-11-01 07:36:14,7
615,רשת 13,2024-11-01,2024-11-01 07:36:25,7
616,רשת 13,2024-11-01,2024-11-01 07:36:32,7
617,רשת 13,2024-11-01,2024-11-01 07:36:39,7
