Unnamed: 0,Campaign,Channel,Date,Start time,Duration,Spot type,Promotion,Pos. Block 1,Spots Block 1,Title,TVR,Date_dt,Start_dt,End_dt,hour_of_day,quarter_id,advertiser_id,break_id,position_in_break,channel,base_rate,prime_premium,pos1,pos2,pos3,pos_last,adv_premium,position_premium,total_premium,revenue_ils,is_target_channel,include_as_media,competitor_flag
1159,פ-קשת 12 תדמיתי 2024 הגיבורים של השנה,קשת 12,02/11/2024,02:07:54,124,פרומו,פרומו,0,0,[חיים ומעיין ש.ח],1.1,02/11/2024,02/11/2024 02:07,02/11/2024 02:09,2,1730512800,פ,2794,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,8184,TRUE,TRUE,FALSE
1160,פ-חדשות סוף השבוע,קשת 12,02/11/2024,03:16:28,32,פרומו,פרומו,0,0,[איזה צחוק עם אבי נוסבאום ש.ח],2,02/11/2024,02/11/2024 03:16,02/11/2024 03:17,3,1730517300,פ,2795,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,3840,TRUE,TRUE,FALSE
1161,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,04:17:22,36,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.3,02/11/2024,02/11/2024 04:17,02/11/2024 04:17,4,1730520900,פ,2796,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,2808,TRUE,TRUE,FALSE
1162,פ-הכוכב הבא 11,קשת 12,02/11/2024,04:17:58,60,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.3,02/11/2024,02/11/2024 04:17,02/11/2024 04:18,4,1730520900,פ,2796,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,4290,TRUE,TRUE,FALSE
1163,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,04:32:32,34,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 04:32,02/11/2024 04:33,4,1730521800,פ,2797,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,2448,TRUE,TRUE,FALSE
1164,פ-חדשות סוף השבוע,קשת 12,02/11/2024,04:33:06,32,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 04:33,02/11/2024 04:33,4,1730521800,פ,2797,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,2112,TRUE,TRUE,FALSE
1165,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,04:48:13,41,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 04:48,02/11/2024 04:48,4,1730522700,פ,2798,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,2952,TRUE,TRUE,FALSE
1166,פ-הכוכב הבא 11,קשת 12,02/11/2024,04:48:54,60,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 04:48,02/11/2024 04:49,4,1730522700,פ,2798,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,3960,TRUE,TRUE,FALSE
1167,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,05:04:19,37,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 05:04,02/11/2024 05:04,5,1730523600,פ,2799,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,2664,TRUE,TRUE,FALSE
1168,פ-הכוכב הבא 11,קשת 12,02/11/2024,05:04:56,60,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 05:04,02/11/2024 05:05,5,1730523600,פ,2799,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,3960,TRUE,TRUE,FALSE
