name,display_name,aliases,source,first_seen,notes
אובלי ערבויות,,,observed,2025-04-27,
אופטיקנה,,,observed,2025-04-27,
אי.בי.אי בית השקעות,,,observed,2025-04-27,
אסם,,,observed,2025-04-27,
ביטוח ישיר,,,observed,2025-04-27,
ביטוח לאומי,,,observed,2025-04-27,
בית בכפר,,,observed,2025-04-27,
בנק הפועלים,,,observed,2025-04-27,
בנק מזרחי טפחות,,,observed,2025-04-27,
דוד לובינסקי,,,observed,2025-04-27,
המרכז למימוש זכויות רפואיות,,,observed,2025-04-27,
הפניקס,,,observed,2025-04-27,
חן ואיתי גינדי,,,observed,2025-04-27,
טבע,,,observed,2025-04-27,
טורנדו מוצרי צריכה,,,observed,2025-04-27,
טמפו,,,observed,2025-04-27,
ישראכרט,,,observed,2025-04-27,
ישראל היום,,,observed,2025-04-27,
ישרוטל,,,observed,2025-04-27,
כלמוביל,,,observed,2025-04-27,
מגדל,,,observed,2025-04-27,
מדיפוד,,,observed,2025-04-27,
מי עדן,,,observed,2025-04-27,
"סיימן בע""מ",,,observed,2025-04-27,
סלקום,,,observed,2025-04-27,
סנו,,,observed,2025-04-27,
עד 120 מרכזי מגורים לאוכלוסיה המבוגרת,,,observed,2025-04-27,
עוגן קרן להלוואות חברתיות,,,observed,2025-04-27,
"עמותת מל""י",,,observed,2025-04-27,
פקטורי 54,,,observed,2025-04-27,
פרוקטר & גמבל,,,observed,2025-04-27,
פריסבי,,,observed,2025-04-27,
צ'מפיון מוטורס,,,observed,2025-04-27,
קבוצת פומו,,,observed,2025-04-27,
"קופ""ח מאוחדת",,,observed,2025-04-27,
קליל תעשיות,,,observed,2025-04-27,
קרייזי ליין,,,observed,2025-04-27,
קרסו מוטורס,,,observed,2025-04-27,
רמי לוי שיווק השקמה,,,observed,2025-04-27,
שטראוס,,,observed,2025-04-27,
תדהר,,,observed,2025-04-27,
