agency_id,advertiser,source,observed_date,notes
AGY_01,בנק הפועלים,observed,2025-04-27,
AGY_01,המרכז למימוש זכויות רפואיות,observed,2025-04-27,
AGY_01,כלמוביל,observed,2025-04-27,
AGY_01,מגדל,observed,2025-04-27,
AGY_01,פריסבי,observed,2025-04-27,
AGY_01,קרסו מוטורס,observed,2025-04-27,
AGY_02,אופטיקנה,observed,2025-04-27,
AGY_02,אסם,observed,2025-04-27,
AGY_02,בנק מזרחי טפחות,observed,2025-04-27,
AGY_02,דוד לובינסקי,observed,2025-04-27,
AGY_02,חן ואיתי גינדי,observed,2025-04-27,
AGY_02,טבע,observed,2025-04-27,
AGY_02,טורנדו מוצרי צריכה,observed,2025-04-27,
AGY_02,טמפו,observed,2025-04-27,
AGY_02,ישראכרט,observed,2025-04-27,
AGY_02,ישרוטל,observed,2025-04-27,
AGY_02,מדיפוד,observed,2025-04-27,
AGY_02,מי עדן,observed,2025-04-27,
AGY_02,"סיימן בע""מ",observed,2025-04-27,
AGY_02,עד 120 מרכזי מגורים לאוכלוסיה המבוגרת,observed,2025-04-27,
AGY_02,צ'מפיון מוטורס,observed,2025-04-27,
AGY_02,קליל תעשיות,observed,2025-04-27,
AGY_02,קרייזי ליין,observed,2025-04-27,
AGY_02,רמי לוי שיווק השקמה,observed,2025-04-27,
AGY_02,תדהר,observed,2025-04-27,
AGY_03,ביטוח ישיר,observed,2025-04-27,
AGY_03,הפניקס,observed,2025-04-27,
AGY_03,שטראוס,observed,2025-04-27,
AGY_04,ישראל היום,observed,2025-04-27,
AGY_04,סנו,observed,2025-04-27,
AGY_04,עוגן קרן להלוואות חברתיות,observed,2025-04-27,
AGY_04,"עמותת מל""י",observed,2025-04-27,
AGY_04,פקטורי 54,observed,2025-04-27,
AGY_04,קבוצת פומו,observed,2025-04-27,
AGY_05,ביטוח לאומי,observed,2025-04-27,
AGY_06,פרוקטר & גמבל,observed,2025-04-27,
AGY_06,"קופ""ח מאוחדת",observed,2025-04-27,
AGY_07,אי.בי.אי בית השקעות,observed,2025-04-27,
AGY_07,סלקום,observed,2025-04-27,
AGY_08,אובלי ערבויות,observed,2025-04-27,
AGY_09,בית בכפר,observed,2025-04-27,
