event_id,name,type,start_date,end_date,intensity,notes,active,price_multiplier
hol-2024-03-24,פורים,holiday,2024-03-24,2024-03-24,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-04-23,פסח,holiday,2024-04-23,2024-04-23,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-04-29,שביעי של פסח,holiday,2024-04-29,2024-04-29,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-05-06,יום השואה,holiday,2024-05-06,2024-05-06,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-05-13,יום הזיכרון,holiday,2024-05-13,2024-05-13,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-05-14,יום העצמאות,holiday,2024-05-14,2024-05-14,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-05-26,ל״ג בעומר,holiday,2024-05-26,2024-05-26,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-06-12,שבועות,holiday,2024-06-12,2024-06-12,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-10-03,ראש השנה,holiday,2024-10-03,2024-10-03,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-10-04,ראש השנה יום שני,holiday,2024-10-04,2024-10-04,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-10-12,יום כיפור,holiday,2024-10-12,2024-10-12,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-10-17,סוכות,holiday,2024-10-17,2024-10-17,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-10-24,שמחת תורה,holiday,2024-10-24,2024-10-24,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2024-12-26,חנוכה יום ראשון,holiday,2024-12-26,2024-12-26,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-03-14,פורים,holiday,2025-03-14,2025-03-14,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-04-13,פסח,holiday,2025-04-13,2025-04-13,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-04-19,שביעי של פסח,holiday,2025-04-19,2025-04-19,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
