asset_id,campaign_id,advertiser,channel,house_number,version_name,spot_type,length_class,duration_seconds,media_url,media_state,video_format,aspect_ratio,loudness_lufs,loudness_standard,clearance_verdict,clearance_authority,clearance_checked_at,first_observed_on,last_observed_on,airings_observed,identity_source,source_file,is_demo,notes
CMP_D001_A01,CMP_D001,סנו,רשת 13,CBN002635,"Mix&wash 25""",פרסומת,commercial,25,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D002_A01,CMP_D002,טבע,רשת 13,HMK022687,נגזרת 6,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D003_A01,CMP_D003,סנו,רשת 13,CBN002337,קרליין 10- שמפו ארגן מאיה קיי 14 שניות,פרסומת,commercial,14,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D004_A01,CMP_D004,"סיימן בע""מ",רשת 13,CID178844,יוגה 10 שניות,פרסומת,commercial,10,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D005_A01,CMP_D005,ביטוח לאומי,רשת 13,CID178954,חתונה,פרסומת,commercial,43,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D006_A01,CMP_D006,תדהר,רשת 13,HMK022578,"תדהר 6"" - 10 שנות אחריות",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D006_A02,CMP_D006,תדהר,רשת 13,HMK022579,"תדהר 6"" - ברור שהם שמחים",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D007_A01,CMP_D007,טבע,רשת 13,HMK021885,"חסות 6""",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D008_A01,CMP_D008,ישראכרט,רשת 13,CRP005388,אחרי החגים,פרסומת,commercial,15,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D009_A01,CMP_D009,דוד לובינסקי,רשת 13,CBN002680,גרסה ארוכה 32,פרסומת,commercial,32,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D010_A01,CMP_D010,דוד לובינסקי,רשת 13,CBN002697,21 עצמאות,פרסומת,commercial,21,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D010_A02,CMP_D010,דוד לובינסקי,רשת 13,HBN002696,חסות 6,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D011_A01,CMP_D011,אי.בי.אי בית השקעות,רשת 13,HID176054,"6"" ספה",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D011_A02,CMP_D011,אי.בי.אי בית השקעות,רשת 13,HID177697,6״ חדכ,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D012_A01,CMP_D012,בית בכפר,רשת 13,CID178844,נגזרת 15,פרסומת,commercial,32,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D013_A01,CMP_D013,כלמוביל,רשת 13,CID178967,"יונדאי איוניק 5 טווח נסיעה 10""",פרסומת,commercial,10,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D013_A02,CMP_D013,כלמוביל,רשת 13,CID178968,"יונדאי איוניק 5 הטובה ביותר 10""",פרסומת,commercial,10,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D013_A03,CMP_D013,כלמוביל,רשת 13,HID178969,"יונדאי איוניק 5 טווח נסיעה 6""",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D013_A04,CMP_D013,כלמוביל,רשת 13,HID178970,"יונדאי איוניק 5 הטובה ביותר 6""",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D014_A01,CMP_D014,המרכז למימוש זכויות רפואיות,רשת 13,CGB007453,נגזרת כללי 25,פרסומת,commercial,25,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D014_A02,CMP_D014,המרכז למימוש זכויות רפואיות,רשת 13,HGB007510,חסות כללי א',חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D015_A01,CMP_D015,כלמוביל,רשת 13,HID176452,יונדאי וניו גבוה יותר חסות,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D016_A01,CMP_D016,מדיפוד,רשת 13,CID178595,סלייס - 10 שניות,פרסומת,commercial,10,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D017_A01,CMP_D017,מי עדן,רשת 13,CMK022702,מי עדן סודה קיצור 15 מחליפה 2,פרסומת,commercial,15,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D018_A01,CMP_D018,פקטורי 54,רשת 13,HID176959,ארנה אלפי פריטים,חסות,sponsorship,8,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D018_A02,CMP_D018,פקטורי 54,רשת 13,HID176960,ארנה לרגל סגירה,חסות,sponsorship,8,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D018_A03,CMP_D018,פקטורי 54,רשת 13,HID176961,ארנה 2 לרגל סגירה,חסות,sponsorship,8,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
