record_type,campaign_id,flight_id,name,advertiser,agency_id,status,starts_on,ends_on,goal_kind,goal_value,rebate_percent,surcharge_discount_percent,surcharge_weekdays,notes,created_at,created_by,data_source,channel,brand,category,budget_ils,bonus_ils,rating_goal_points,rating_goal_audience,price_model,priority,pacing_mode,is_demo,demo_note
campaign,CMP_D001,,2023-07 - סנו - סנו מקסימה,סנו,AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,סנו מקסימה,,46200.00,,65.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D001,CMP_D001_F1,2023-07 - סנו - סנו מקסימה,,,,2025-04-27,2025-05-03,grp,65.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D002,,2023-09 - טבע — טבע קיירגיברס - איתי לוי,טבע,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,13200.00,,70.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D002,CMP_D002_F1,2023-09 - טבע — טבע קיירגיברס - איתי לוי,,,,2025-04-27,2025-05-03,grp,70.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D003,,2024-01 - סנו - קרליין — שמפו ארגן מאיה קיי,סנו,AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,קרליין,,55900.00,,100.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D003,CMP_D003_F1,2024-01 - סנו - קרליין — שמפו ארגן מאיה קיי,,,,2025-04-27,2025-05-03,grp,100.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D004,,"2024-03 - סיימן בע""מ - סנדלפור","סיימן בע""מ",AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,סנדלפור,,29400.00,,50.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D004,CMP_D004_F1,"2024-03 - סיימן בע""מ - סנדלפור",,,,2025-04-27,2025-05-03,grp,50.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D005,,2024-05 - ביטוח לאומי - יום הזיכרון נפגעי פעולות איבה,ביטוח לאומי,AGY_05,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,יום הזיכרון נפגעי פעולות איבה,,193100.00,,80.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D005,CMP_D005_F1,2024-05 - ביטוח לאומי - יום הזיכרון נפגעי פעולות איבה,,,,2025-04-27,2025-05-03,grp,80.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D006,,2024-05 - תדהר — תדהר אחריות 10 שנים קמפיין השקה - סרט ראשי,תדהר,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,9900.00,,60.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D006,CMP_D006_F1,2024-05 - תדהר — תדהר אחריות 10 שנים קמפיין השקה - סרט ראשי,,,,2025-04-27,2025-05-03,grp,60.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D007,,2024-08 - טבע — מיגרנה- טבעי שתשאלו בני משפחה,טבע,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,,,40.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D007,CMP_D007_F1,2024-08 - טבע — מיגרנה- טבעי שתשאלו בני משפחה,,,,2025-04-27,2025-05-03,grp,40.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D008,,2024-10 - ישראכרט — ישראכרט - אחרי החגים,ישראכרט,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,24600.00,,55.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D008,CMP_D008_F1,2024-10 - ישראכרט — ישראכרט - אחרי החגים,,,,2025-04-27,2025-05-03,grp,55.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D009,,2024-11 - דוד לובינסקי - אמ ג'י — MG,דוד לובינסקי,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,אמ ג'י,,72600.00,,40.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D009,CMP_D009_F1,2024-11 - דוד לובינסקי - אמ ג'י — MG,,,,2025-04-27,2025-05-03,grp,40.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D010,,2024-12 - דוד לובינסקי,דוד לובינסקי,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,107500.00,,185.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D010,CMP_D010_F1,2024-12 - דוד לובינסקי,,,,2025-04-27,2025-05-03,grp,185.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D011,,2025-01 - אי. בי. אי בית השקעות - אי בי איי — חסויות 2025,אי.בי.אי בית השקעות,AGY_07,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,6600.00,,40.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D011,CMP_D011_F1,2025-01 - אי. בי. אי בית השקעות - אי בי איי — חסויות 2025,,,,2025-04-27,2025-05-03,grp,40.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D012,,2025-01 - בית בכפר,בית בכפר,AGY_09,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,113800.00,,80.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D012,CMP_D012_F1,2025-01 - בית בכפר,,,,2025-04-27,2025-05-03,grp,80.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
