base_rate,baseline_tvr,break_length,break_type,channel,date,day,is_gold,num_breaks,position,predicted_retention,predicted_revenue,program_type,retention_ci_high,retention_ci_low,retention_confidence,retention_n,retention_used,segment_id,start_time,total_break_time
55.2,1.8,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,11341.81,Promo,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|000,00:26,120.0
55.2,1.7,120.0,medium,רשת 13,2024-11-01,Fri,False,4,middle,0.805,39552.26,Reality,0.8905,0.724,medium,229,0.805,2024-11-01|רשת 13|001,00:44,480.0
55.2,1.9,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|002,01:30,0.0
55.2,1.7,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,10711.71,Talk Show,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|003,01:56,120.0
55.2,1.0,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,6301.0,Talk Show,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|004,02:00,120.0
55.2,0.5,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,3150.5,Lifestyle,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|005,02:17,120.0
55.2,0.4,120.0,medium,רשת 13,2024-11-01,Fri,False,2,middle,0.9025,4911.6,Documentary,0.9453,0.862,medium,229,0.9025,2024-11-01|רשת 13|006,02:41,240.0
55.2,0.5,120.0,medium,רשת 13,2024-11-01,Fri,False,0,,1.0,0.0,Promo,,,medium,229,1.0,2024-11-01|רשת 13|007,02:57,0.0
55.2,0.3,120.0,medium,רשת 13,2024-11-01,Fri,False,4,middle,0.805,6979.81,Lifestyle,0.8905,0.724,medium,229,0.805,2024-11-01|רשת 13|008,03:10,480.0
55.2,0.4,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,2520.4,Music,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|009,04:08,120.0
55.2,0.3,120.0,medium,רשת 13,2024-11-01,Fri,False,1,middle,0.9512,1890.3,Music,0.9726,0.931,medium,229,0.9512,2024-11-01|רשת 13|010,04:29,120.0
